N,n_train,mean_train_%,t_train,p1_train,n_test,mean_test_%,t_test,p1_test,median_test_%,wilcox_p_test
1,602,-0.29923379818614876,-4.635922079296972,0.9999978191232806,493,-0.3056417481755711,-3.4369928464942316,0.999680965967783,-0.2685388751130116,0.9999934229971458
3,602,-0.32830050078698775,-3.4993473539903053,0.9997495465585856,493,-0.47128661589331655,-3.828142386866177,0.9999271132963478,-0.4196666661649476,0.9999963628327088
5,602,-0.308369283707946,-2.481660909218358,0.9933253054984499,493,-0.423058511478428,-2.5703584642380877,0.9947737936659536,-0.34763773795179165,0.9989770755107663
10,602,-0.2988172486039027,-1.8517743027895552,0.9677257552506953,493,-0.8238606490095056,-3.63677100119254,0.9998474013612197,-0.7725619008845772,0.9999820125128404
20,602,0.04043390203749117,0.1741342144514056,0.430909311817516,493,-1.0163753479812965,-2.9897878836603824,0.9985342467345674,-1.354246662525589,0.999861115436202
