league,season,matchday,date,home,away,fth,fta,hth,hta,match_id
el1,2014-15,1,2014-08-09,AFC Rochdale,Peterborough United,0,1,0,0,2405367
el1,2014-15,1,2014-08-09,Bradford City,Coventry City,3,2,1,1,2405360
el1,2014-15,1,2014-08-09,Colchester United,Oldham Athletic,2,2,1,2,2405361
el1,2014-15,1,2014-08-09,FC Barnsley,Crawley Town,0,1,0,0,2405359
el1,2014-15,1,2014-08-09,FC Port Vale,FC Walsall,1,1,1,0,2405365
el1,2014-15,1,2014-08-09,Fleetwood Town,Crewe Alexandra,2,1,0,0,2405362
el1,2014-15,1,2014-08-09,Leyton Orient,FC Chesterfield,1,2,0,1,2405363
el1,2014-15,1,2014-08-09,Milton Keynes Dons,FC Gillingham,4,2,1,2,2405364
el1,2014-15,1,2014-08-09,Preston North End,Notts County,1,1,0,0,2405366
el1,2014-15,1,2014-08-09,Sheffield United,Bristol City,1,2,1,1,2405358
el1,2014-15,1,2014-08-09,Swindon Town,Scunthorpe United,3,1,3,1,2405368
el1,2014-15,1,2014-08-09,Yeovil Town,Doncaster Rovers,0,3,0,1,2405369
el1,2014-15,2,2014-08-16,Bristol City,Colchester United,2,1,0,1,2405370
el1,2014-15,2,2014-08-16,Coventry City,Sheffield United,1,0,0,0,2405372
el1,2014-15,2,2014-08-16,Crawley Town,Swindon Town,1,0,0,0,2405373
el1,2014-15,2,2014-08-16,Crewe Alexandra,FC Barnsley,1,2,1,0,2405374
el1,2014-15,2,2014-08-16,Doncaster Rovers,FC Port Vale,1,3,0,3,2405375
el1,2014-15,2,2014-08-16,FC Chesterfield,AFC Rochdale,2,1,1,0,2405371
el1,2014-15,2,2014-08-16,FC Gillingham,Yeovil Town,2,0,1,0,2405376
el1,2014-15,2,2014-08-16,FC Walsall,Bradford City,0,0,0,0,2405381
el1,2014-15,2,2014-08-16,Notts County,Fleetwood Town,0,1,0,1,2405377
el1,2014-15,2,2014-08-16,Oldham Athletic,Leyton Orient,1,3,1,1,2405378
el1,2014-15,2,2014-08-16,Peterborough United,Milton Keynes Dons,3,2,1,0,2405379
el1,2014-15,2,2014-08-16,Scunthorpe United,Preston North End,0,4,0,2,2405380
el1,2014-15,3,2014-08-19,Bristol City,Leyton Orient,0,0,0,0,2405382
el1,2014-15,3,2014-08-19,Coventry City,FC Barnsley,2,2,2,2,2405384
el1,2014-15,3,2014-08-19,Crawley Town,Bradford City,1,3,0,0,2405385
el1,2014-15,3,2014-08-19,Crewe Alexandra,AFC Rochdale,2,5,1,2,2405386
el1,2014-15,3,2014-08-19,Doncaster Rovers,Preston North End,1,1,0,0,2405387
el1,2014-15,3,2014-08-19,FC Chesterfield,Milton Keynes Dons,0,1,0,0,2405383
el1,2014-15,3,2014-08-19,FC Gillingham,Swindon Town,2,2,1,1,2405388
el1,2014-15,3,2014-08-19,FC Walsall,Yeovil Town,1,2,0,0,2405393
el1,2014-15,3,2014-08-19,Notts County,Colchester United,2,1,1,0,2405389
el1,2014-15,3,2014-08-19,Oldham Athletic,FC Port Vale,1,1,0,1,2405390
el1,2014-15,3,2014-08-19,Peterborough United,Sheffield United,1,2,1,1,2405391
el1,2014-15,3,2014-08-19,Scunthorpe United,Fleetwood Town,0,2,0,0,2405392
el1,2014-15,4,2014-08-23,AFC Rochdale,Bristol City,1,1,0,1,2405402
el1,2014-15,4,2014-08-23,Bradford City,Peterborough United,0,1,0,0,2405395
el1,2014-15,4,2014-08-23,Colchester United,Doncaster Rovers,0,1,0,0,2405396
el1,2014-15,4,2014-08-23,FC Barnsley,FC Gillingham,4,1,2,0,2405394
el1,2014-15,4,2014-08-23,FC Port Vale,Notts County,0,2,0,1,2405400
el1,2014-15,4,2014-08-23,Fleetwood Town,FC Chesterfield,0,0,0,0,2405397
el1,2014-15,4,2014-08-23,Leyton Orient,FC Walsall,0,0,0,0,2405398
el1,2014-15,4,2014-08-23,Milton Keynes Dons,Coventry City,0,0,0,0,2405399
el1,2014-15,4,2014-08-23,Preston North End,Oldham Athletic,1,0,1,0,2405401
el1,2014-15,4,2014-08-23,Sheffield United,Crawley Town,1,0,0,0,2405403
el1,2014-15,4,2014-08-23,Swindon Town,Crewe Alexandra,2,0,1,0,2405404
el1,2014-15,4,2014-08-23,Yeovil Town,Scunthorpe United,1,1,0,0,2405405
el1,2014-15,5,2014-08-30,AFC Rochdale,Bradford City,0,2,0,0,2405414
el1,2014-15,5,2014-08-30,Colchester United,Peterborough United,1,3,0,2,2405406
el1,2014-15,5,2014-08-30,Doncaster Rovers,Oldham Athletic,0,2,0,1,2405407
el1,2014-15,5,2014-08-30,FC Gillingham,Crewe Alexandra,2,0,2,0,2405409
el1,2014-15,5,2014-08-30,FC Port Vale,FC Chesterfield,1,2,1,1,2405412
el1,2014-15,5,2014-08-30,Fleetwood Town,Leyton Orient,1,1,0,1,2405408
el1,2014-15,5,2014-08-30,Milton Keynes Dons,Crawley Town,2,0,1,0,2405410
el1,2014-15,5,2014-08-30,Preston North End,Sheffield United,1,1,1,1,2405413
el1,2014-15,5,2014-08-30,Scunthorpe United,FC Walsall,2,1,0,0,2405415
el1,2014-15,5,2014-08-30,Swindon Town,Coventry City,1,1,0,1,2405416
