league,season,matchday,date,home,away,fth,fta,hth,hta,match_id
el2,2024-25,1,2024-08-09,FC Chesterfield,Swindon Town,1,1,1,0,4929732
el2,2024-25,1,2024-08-10,AFC Barrow,Crewe Alexandra,1,0,1,0,4929734
el2,2024-25,1,2024-08-10,AFC Wimbledon,Colchester United,4,2,3,2,4929733
el2,2024-25,1,2024-08-10,Cheltenham Town,Newport County,3,2,2,2,4929735
el2,2024-25,1,2024-08-10,Doncaster Rovers,Accrington Stanley,4,1,1,0,4929736
el2,2024-25,1,2024-08-10,FC Gillingham,Carlisle United,4,1,1,0,4929738
el2,2024-25,1,2024-08-10,FC Walsall,FC Morecambe,1,0,1,0,4929743
el2,2024-25,1,2024-08-10,Fleetwood Town,Grimsby Town,1,0,1,0,4929737
el2,2024-25,1,2024-08-10,Harrogate Town,FC Bromley,0,2,0,0,4929739
el2,2024-25,1,2024-08-10,Milton Keynes Dons,Bradford City,1,2,1,2,4929740
el2,2024-25,1,2024-08-10,Salford City,FC Port Vale,0,2,0,1,4929741
el2,2024-25,1,2024-08-10,Tranmere Rovers,Notts County,0,0,0,0,4929742
el2,2024-25,2,2024-08-17,Accrington Stanley,Harrogate Town,3,3,1,2,4929744
el2,2024-25,2,2024-08-17,Bradford City,Salford City,0,0,0,0,4929745
el2,2024-25,2,2024-08-17,Carlisle United,AFC Barrow,1,0,1,0,4929747
el2,2024-25,2,2024-08-17,Colchester United,Milton Keynes Dons,2,0,0,0,4929748
el2,2024-25,2,2024-08-17,Crewe Alexandra,FC Chesterfield,0,5,0,4,4929749
el2,2024-25,2,2024-08-17,FC Bromley,AFC Wimbledon,2,0,1,0,4929746
el2,2024-25,2,2024-08-17,FC Morecambe,FC Gillingham,0,1,0,0,4929751
el2,2024-25,2,2024-08-17,FC Port Vale,Tranmere Rovers,0,0,0,0,4929754
el2,2024-25,2,2024-08-17,Grimsby Town,Cheltenham Town,3,2,1,0,4929750
el2,2024-25,2,2024-08-17,Newport County,Doncaster Rovers,3,1,0,1,4929752
el2,2024-25,2,2024-08-17,Swindon Town,FC Walsall,0,4,0,2,4929755
el2,2024-25,2,2024-08-18,Notts County,Fleetwood Town,2,2,0,1,4929753
el2,2024-25,3,2024-08-22,Notts County,Grimsby Town,4,1,3,1,4929766
el2,2024-25,3,2024-08-24,AFC Barrow,FC Port Vale,4,0,0,0,4929756
el2,2024-25,3,2024-08-24,Bradford City,FC Bromley,3,1,2,0,4929757
el2,2024-25,3,2024-08-24,Cheltenham Town,AFC Wimbledon,0,1,0,0,4929758
el2,2024-25,3,2024-08-24,Colchester United,Harrogate Town,0,1,0,0,4929760
el2,2024-25,3,2024-08-24,Crewe Alexandra,Swindon Town,0,0,0,0,4929761
el2,2024-25,3,2024-08-24,Doncaster Rovers,FC Morecambe,1,0,1,0,4929762
el2,2024-25,3,2024-08-24,FC Chesterfield,Salford City,1,1,0,0,4929759
el2,2024-25,3,2024-08-24,Fleetwood Town,FC Gillingham,0,0,0,0,4929763
el2,2024-25,3,2024-08-24,Milton Keynes Dons,Carlisle United,3,0,2,0,4929764
el2,2024-25,3,2024-08-24,Newport County,Accrington Stanley,3,1,1,1,4929765
el2,2024-25,3,2024-08-24,Tranmere Rovers,FC Walsall,1,0,1,0,4929767
el2,2024-25,4,2024-08-31,AFC Wimbledon,Fleetwood Town,1,0,1,0,4929768
el2,2024-25,4,2024-08-31,Accrington Stanley,Colchester United,1,1,1,0,4929769
el2,2024-25,4,2024-08-31,Carlisle United,Tranmere Rovers,1,2,1,2,4929771
el2,2024-25,4,2024-08-31,FC Bromley,Crewe Alexandra,1,2,1,0,4929770
el2,2024-25,4,2024-08-31,FC Gillingham,FC Chesterfield,1,0,1,0,4929772
el2,2024-25,4,2024-08-31,FC Morecambe,Newport County,0,1,0,1,4929775
el2,2024-25,4,2024-08-31,FC Port Vale,Doncaster Rovers,2,3,1,1,4929776
el2,2024-25,4,2024-08-31,FC Walsall,Cheltenham Town,2,1,0,0,4929779
el2,2024-25,4,2024-08-31,Grimsby Town,Bradford City,2,1,1,0,4929773
el2,2024-25,4,2024-08-31,Harrogate Town,AFC Barrow,0,1,0,0,4929774
el2,2024-25,4,2024-08-31,Swindon Town,Notts County,1,2,1,1,4929778
el2,2024-25,4,2024-09-02,Salford City,Milton Keynes Dons,1,0,1,0,4929777
el2,2024-25,5,2024-09-07,AFC Barrow,Swindon Town,1,1,1,0,4929780
el2,2024-25,5,2024-09-07,Bradford City,Carlisle United,2,1,1,0,4929781
el2,2024-25,5,2024-09-07,Cheltenham Town,Harrogate Town,1,0,0,0,4929782
el2,2024-25,5,2024-09-07,Colchester United,FC Bromley,1,1,0,1,4929784
el2,2024-25,5,2024-09-07,Crewe Alexandra,FC Morecambe,1,0,1,0,4929785
el2,2024-25,5,2024-09-07,Doncaster Rovers,FC Gillingham,1,0,1,0,4929786
el2,2024-25,5,2024-09-07,FC Chesterfield,Grimsby Town,2,1,2,0,4929783
el2,2024-25,5,2024-09-07,Milton Keynes Dons,FC Walsall,1,0,1,0,4929788
el2,2024-25,5,2024-09-07,Newport County,FC Port Vale,1,4,1,2,4929789
el2,2024-25,5,2024-09-07,Notts County,Accrington Stanley,2,0,1,0,4929790
el2,2024-25,5,2024-10-29,Fleetwood Town,Salford City,2,2,1,1,4929787
el2,2024-25,5,2024-11-26,Tranmere Rovers,AFC Wimbledon,0,2,0,1,4929791
el2,2024-25,6,2024-09-12,Harrogate Town,Doncaster Rovers,2,0,2,0,4929798
el2,2024-25,6,2024-09-14,AFC Wimbledon,Milton Keynes Dons,3,0,1,0,4929792
el2,2024-25,6,2024-09-14,Accrington Stanley,Crewe Alexandra,0,1,0,0,4929793
el2,2024-25,6,2024-09-14,Carlisle United,Fleetwood Town,2,3,1,2,4929795
el2,2024-25,6,2024-09-14,FC Bromley,Notts County,2,4,2,1,4929794
el2,2024-25,6,2024-09-14,FC Gillingham,Tranmere Rovers,3,0,0,0,4929796
el2,2024-25,6,2024-09-14,FC Morecambe,Colchester United,3,3,1,1,4929799
el2,2024-25,6,2024-09-14,FC Port Vale,FC Chesterfield,1,0,1,0,4929800
el2,2024-25,6,2024-09-14,FC Walsall,Bradford City,2,1,1,1,4929803
el2,2024-25,6,2024-09-14,Grimsby Town,AFC Barrow,1,2,1,2,4929797
el2,2024-25,6,2024-09-14,Salford City,Cheltenham Town,2,1,0,0,4929801
el2,2024-25,6,2024-09-14,Swindon Town,Newport County,4,0,4,0,4929802
el2,2024-25,7,2024-09-21,AFC Barrow,Newport County,2,0,1,0,4929805
el2,2024-25,7,2024-09-21,Accrington Stanley,FC Port Vale,2,2,2,0,4929804
el2,2024-25,7,2024-09-21,Bradford City,AFC Wimbledon,0,0,0,0,4929806
el2,2024-25,7,2024-09-21,Colchester United,Tranmere Rovers,3,0,2,0,4929808
el2,2024-25,7,2024-09-21,Crewe Alexandra,Harrogate Town,3,0,2,0,4929809
el2,2024-25,7,2024-09-21,FC Chesterfield,Cheltenham Town,1,1,1,0,4929807
el2,2024-25,7,2024-09-21,Grimsby Town,FC Bromley,1,0,0,0,4929811
el2,2024-25,7,2024-09-21,Milton Keynes Dons,Doncaster Rovers,1,1,1,0,4929812
el2,2024-25,7,2024-09-21,Notts County,FC Gillingham,0,1,0,1,4929813
el2,2024-25,7,2024-09-21,Salford City,FC Walsall,0,2,0,0,4929814
el2,2024-25,7,2024-09-21,Swindon Town,Carlisle United,0,2,0,1,4929815
el2,2024-25,7,2024-09-23,Fleetwood Town,FC Morecambe,2,2,2,0,4929810
el2,2024-25,8,2024-09-27,Tranmere Rovers,Salford City,0,0,0,0,4929826
el2,2024-25,8,2024-09-28,Carlisle United,Grimsby Town,2,3,2,1,4929818
el2,2024-25,8,2024-09-28,Cheltenham Town,Fleetwood Town,0,2,0,1,4929819
el2,2024-25,8,2024-09-28,Doncaster Rovers,FC Chesterfield,0,3,0,1,4929820
el2,2024-25,8,2024-09-28,FC Bromley,Milton Keynes Dons,1,1,1,1,4929817
el2,2024-25,8,2024-09-28,FC Gillingham,AFC Barrow,2,0,1,0,4929821
el2,2024-25,8,2024-09-28,FC Morecambe,Notts County,1,1,1,0,4929823
el2,2024-25,8,2024-09-28,FC Port Vale,Swindon Town,2,1,0,0,4929825
el2,2024-25,8,2024-09-28,FC Walsall,Colchester United,4,0,1,0,4929827
el2,2024-25,8,2024-09-28,Harrogate Town,Bradford City,2,1,2,1,4929822
el2,2024-25,8,2024-09-28,Newport County,Crewe Alexandra,2,1,1,0,4929824
el2,2024-25,8,2024-11-19,AFC Wimbledon,Accrington Stanley,2,2,0,0,4929816
