league,season,matchday,date,home,away,fth,fta,hth,hta,match_id
el1,2023-24,1,2023-08-05,Bolton Wanderers,Lincoln City,3,0,1,0,4852036
el1,2023-24,1,2023-08-05,Cambridge United,Oxford United,2,0,2,0,4852037
el1,2023-24,1,2023-08-05,Carlisle United,Fleetwood Town,1,1,1,1,4852038
el1,2023-24,1,2023-08-05,Charlton Athletic,Leyton Orient,1,0,1,0,4852039
el1,2023-24,1,2023-08-05,Derby County,Wigan Athletic,1,2,0,1,4852040
el1,2023-24,1,2023-08-05,FC Barnsley,FC Port Vale,7,0,2,0,4852034
el1,2023-24,1,2023-08-05,FC Blackpool,Burton Albion,2,0,2,0,4852035
el1,2023-24,1,2023-08-05,FC Portsmouth,Bristol Rovers,1,1,0,1,4852042
el1,2023-24,1,2023-08-05,FC Reading,Peterborough United,0,1,0,1,4852043
el1,2023-24,1,2023-08-05,Northampton Town,FC Stevenage,0,1,0,0,4852041
el1,2023-24,1,2023-08-05,Shrewsbury Town,Cheltenham Town,1,0,0,0,4852044
el1,2023-24,1,2023-08-05,Wycombe Wanderers,Exeter City,0,3,0,2,4852045
el1,2023-24,2,2023-08-12,Bristol Rovers,FC Barnsley,1,1,0,1,4852046
el1,2023-24,2,2023-08-12,Burton Albion,Derby County,0,3,0,1,4852047
el1,2023-24,2,2023-08-12,Cheltenham Town,Bolton Wanderers,0,3,0,3,4852048
el1,2023-24,2,2023-08-12,Exeter City,FC Blackpool,0,0,0,0,4852049
el1,2023-24,2,2023-08-12,FC Port Vale,FC Reading,1,0,0,0,4852055
el1,2023-24,2,2023-08-12,FC Stevenage,Shrewsbury Town,2,0,0,0,4852056
el1,2023-24,2,2023-08-12,Fleetwood Town,Cambridge United,0,2,0,1,4852050
el1,2023-24,2,2023-08-12,Leyton Orient,FC Portsmouth,0,4,0,2,4852051
el1,2023-24,2,2023-08-12,Lincoln City,Wycombe Wanderers,3,0,0,0,4852052
el1,2023-24,2,2023-08-12,Oxford United,Carlisle United,1,0,0,0,4852053
el1,2023-24,2,2023-08-12,Peterborough United,Charlton Athletic,1,0,1,0,4852054
el1,2023-24,2,2023-08-12,Wigan Athletic,Northampton Town,2,1,0,1,4852057
el1,2023-24,3,2023-08-15,Bolton Wanderers,Fleetwood Town,3,1,3,0,4852060
el1,2023-24,3,2023-08-15,Cambridge United,FC Stevenage,1,2,0,1,4852061
el1,2023-24,3,2023-08-15,Carlisle United,Wigan Athletic,1,1,0,1,4852062
el1,2023-24,3,2023-08-15,Charlton Athletic,Bristol Rovers,1,2,0,0,4852063
el1,2023-24,3,2023-08-15,Derby County,Oxford United,1,2,0,1,4852064
el1,2023-24,3,2023-08-15,FC Barnsley,Peterborough United,1,3,0,0,4852058
el1,2023-24,3,2023-08-15,FC Blackpool,FC Port Vale,0,0,0,0,4852059
el1,2023-24,3,2023-08-15,FC Portsmouth,Exeter City,1,0,0,0,4852066
el1,2023-24,3,2023-08-15,FC Reading,Cheltenham Town,1,0,1,0,4852069
el1,2023-24,3,2023-08-15,Northampton Town,Lincoln City,2,2,0,1,4852065
el1,2023-24,3,2023-08-15,Shrewsbury Town,Burton Albion,2,1,2,0,4852067
el1,2023-24,3,2023-08-15,Wycombe Wanderers,Leyton Orient,3,2,1,1,4852068
el1,2023-24,4,2023-08-19,Bolton Wanderers,Wigan Athletic,0,4,0,3,4852072
el1,2023-24,4,2023-08-19,Cambridge United,Bristol Rovers,2,0,0,0,4852073
el1,2023-24,4,2023-08-19,Carlisle United,Exeter City,0,2,0,0,4852074
el1,2023-24,4,2023-08-19,Charlton Athletic,FC Port Vale,2,3,1,0,4852075
el1,2023-24,4,2023-08-19,Derby County,Fleetwood Town,1,0,1,0,4852076
el1,2023-24,4,2023-08-19,FC Barnsley,Oxford United,1,3,0,1,4852070
el1,2023-24,4,2023-08-19,FC Blackpool,Leyton Orient,0,0,0,0,4852071
el1,2023-24,4,2023-08-19,FC Portsmouth,Cheltenham Town,0,0,0,0,4852078
el1,2023-24,4,2023-08-19,FC Reading,FC Stevenage,2,0,1,0,4852079
el1,2023-24,4,2023-08-19,Northampton Town,Peterborough United,1,0,0,0,4852077
el1,2023-24,4,2023-08-19,Shrewsbury Town,Lincoln City,0,1,0,0,4852080
el1,2023-24,4,2023-08-19,Wycombe Wanderers,Burton Albion,0,0,0,0,4852081
el1,2023-24,5,2023-08-26,Bristol Rovers,Wycombe Wanderers,1,2,0,1,4852082
el1,2023-24,5,2023-08-26,Burton Albion,Bolton Wanderers,1,1,0,0,4852083
el1,2023-24,5,2023-08-26,Cheltenham Town,Northampton Town,0,1,0,0,4852084
el1,2023-24,5,2023-08-26,Exeter City,FC Reading,2,1,1,1,4852085
el1,2023-24,5,2023-08-26,FC Port Vale,Carlisle United,1,0,0,0,4852091
el1,2023-24,5,2023-08-26,FC Stevenage,FC Portsmouth,0,0,0,0,4852092
el1,2023-24,5,2023-08-26,Fleetwood Town,Shrewsbury Town,0,1,0,1,4852086
el1,2023-24,5,2023-08-26,Leyton Orient,Cambridge United,2,0,1,0,4852087
el1,2023-24,5,2023-08-26,Lincoln City,FC Blackpool,3,0,2,0,4852088
el1,2023-24,5,2023-08-26,Oxford United,Charlton Athletic,2,1,1,0,4852089
el1,2023-24,5,2023-08-26,Peterborough United,Derby County,2,4,1,4,4852090
el1,2023-24,5,2023-08-26,Wigan Athletic,FC Barnsley,0,2,0,1,4852093
el1,2023-24,6,2023-09-02,Bolton Wanderers,Derby County,2,1,1,1,4852095
el1,2023-24,6,2023-09-02,Bristol Rovers,Lincoln City,1,1,0,0,4852096
el1,2023-24,6,2023-09-02,Burton Albion,Exeter City,0,1,0,0,4852097
el1,2023-24,6,2023-09-02,Carlisle United,Shrewsbury Town,2,0,0,0,4852099
el1,2023-24,6,2023-09-02,Charlton Athletic,Fleetwood Town,2,1,1,1,4852100
el1,2023-24,6,2023-09-02,Cheltenham Town,FC Barnsley,0,2,0,0,4852101
el1,2023-24,6,2023-09-02,FC Blackpool,Wigan Athletic,2,1,1,0,4852094
el1,2023-24,6,2023-09-02,FC Portsmouth,Peterborough United,3,1,2,1,4852105
el1,2023-24,6,2023-09-02,Leyton Orient,FC Stevenage,0,3,0,2,4852102
el1,2023-24,6,2023-09-02,Northampton Town,Wycombe Wanderers,0,1,0,1,4852103
el1,2023-24,6,2023-09-02,Oxford United,FC Port Vale,1,2,0,0,4852104
el1,2023-24,6,2023-09-04,Cambridge United,FC Reading,1,0,0,0,4852098
el1,2023-24,7,2023-09-09,Exeter City,Leyton Orient,1,2,0,0,4852108
el1,2023-24,7,2023-09-09,FC Stevenage,Carlisle United,2,2,1,1,4852115
el1,2023-24,7,2023-09-19,FC Barnsley,FC Portsmouth,2,3,0,3,4852106
el1,2023-24,7,2023-09-19,FC Port Vale,Burton Albion,2,3,1,1,4852112
el1,2023-24,7,2023-09-19,Peterborough United,Cheltenham Town,3,0,0,0,4852111
el1,2023-24,7,2023-10-31,Derby County,Northampton Town,4,0,3,0,4852107
el1,2023-24,7,2023-10-31,Lincoln City,Oxford United,0,2,0,1,4852110
el1,2023-24,7,2023-10-31,Wigan Athletic,Charlton Athletic,2,3,0,3,4852116
el1,2023-24,7,2023-10-31,Wycombe Wanderers,Cambridge United,0,0,0,0,4852117
el1,2023-24,7,2023-11-01,Fleetwood Town,FC Blackpool,3,3,2,0,4852109
el1,2023-24,7,2023-11-07,FC Reading,Bristol Rovers,1,1,1,0,4852113
el1,2023-24,7,2023-11-07,Shrewsbury Town,Bolton Wanderers,0,2,0,0,4852114
el1,2023-24,8,2023-09-16,Derby County,FC Portsmouth,1,1,0,0,4852119
el1,2023-24,8,2023-09-16,Exeter City,Cheltenham Town,1,0,0,0,4852120
el1,2023-24,8,2023-09-16,FC Barnsley,Burton Albion,2,0,1,0,4852118
el1,2023-24,8,2023-09-16,FC Port Vale,Northampton Town,1,0,0,0,4852124
el1,2023-24,8,2023-09-16,FC Reading,Bolton Wanderers,2,1,0,1,4852125
el1,2023-24,8,2023-09-16,FC Stevenage,Charlton Athletic,1,1,1,0,4852127
el1,2023-24,8,2023-09-16,Fleetwood Town,Oxford United,0,3,0,2,4852121
el1,2023-24,8,2023-09-16,Lincoln City,Carlisle United,1,1,0,1,4852122
el1,2023-24,8,2023-09-16,Peterborough United,Leyton Orient,1,1,1,1,4852123
el1,2023-24,8,2023-09-16,Shrewsbury Town,Bristol Rovers,0,2,0,0,4852126
el1,2023-24,8,2023-09-16,Wigan Athletic,Cambridge United,2,1,0,0,4852128
el1,2023-24,8,2023-09-16,Wycombe Wanderers,FC Blackpool,2,0,1,0,4852129
el1,2023-24,9,2023-09-23,Bolton Wanderers,Peterborough United,1,1,1,1,4852131
el1,2023-24,9,2023-09-23,Bristol Rovers,Wigan Athletic,4,1,2,1,4852132
el1,2023-24,9,2023-09-23,Burton Albion,Fleetwood Town,1,1,1,1,4852133
el1,2023-24,9,2023-09-23,Cambridge United,FC Port Vale,1,1,0,1,4852134
el1,2023-24,9,2023-09-23,Carlisle United,Derby County,0,2,0,1,4852135
el1,2023-24,9,2023-09-23,Charlton Athletic,Wycombe Wanderers,3,1,1,0,4852136
el1,2023-24,9,2023-09-23,Cheltenham Town,FC Stevenage,0,3,0,1,4852137
el1,2023-24,9,2023-09-23,FC Blackpool,FC Reading,4,1,3,0,4852130
el1,2023-24,9,2023-09-23,FC Portsmouth,Lincoln City,2,1,2,1,4852141
el1,2023-24,9,2023-09-23,Leyton Orient,Shrewsbury Town,1,0,1,0,4852138
el1,2023-24,9,2023-09-23,Northampton Town,FC Barnsley,1,2,0,1,4852139
el1,2023-24,9,2023-09-23,Oxford United,Exeter City,3,0,1,0,4852140
el1,2023-24,10,2023-09-30,Derby County,Cambridge United,0,0,0,0,4852143
el1,2023-24,10,2023-09-30,Exeter City,Northampton Town,0,2,0,1,4852144
el1,2023-24,10,2023-09-30,FC Barnsley,FC Blackpool,0,1,0,1,4852142
el1,2023-24,10,2023-09-30,FC Port Vale,Bolton Wanderers,0,1,0,1,4852148
el1,2023-24,10,2023-09-30,FC Reading,Burton Albion,0,0,0,0,4852149
el1,2023-24,10,2023-09-30,FC Stevenage,Oxford United,1,3,1,1,4852151
el1,2023-24,10,2023-09-30,Fleetwood Town,Leyton Orient,1,0,0,0,4852145
el1,2023-24,10,2023-09-30,Lincoln City,Cheltenham Town,2,0,2,0,4852146
el1,2023-24,10,2023-09-30,Peterborough United,Bristol Rovers,2,0,1,0,4852147
el1,2023-24,10,2023-09-30,Shrewsbury Town,Charlton Athletic,0,0,0,0,4852150
el1,2023-24,10,2023-09-30,Wigan Athletic,FC Portsmouth,1,2,1,2,4852152
el1,2023-24,10,2023-09-30,Wycombe Wanderers,Carlisle United,2,0,1,0,4852153
el1,2023-24,11,2023-10-03,Bolton Wanderers,FC Stevenage,3,2,1,1,4852155
el1,2023-24,11,2023-10-03,Bristol Rovers,FC Port Vale,3,0,2,0,4852156
el1,2023-24,11,2023-10-03,Burton Albion,Wigan Athletic,2,1,0,1,4852157
el1,2023-24,11,2023-10-03,Cambridge United,FC Barnsley,0,4,0,2,4852158
el1,2023-24,11,2023-10-03,Carlisle United,Peterborough United,1,1,0,0,4852159
el1,2023-24,11,2023-10-03,Charlton Athletic,Exeter City,4,1,1,1,4852160
el1,2023-24,11,2023-10-03,Cheltenham Town,Fleetwood Town,0,2,0,1,4852161
el1,2023-24,11,2023-10-03,FC Blackpool,Derby County,1,3,0,0,4852154
el1,2023-24,11,2023-10-03,FC Portsmouth,Wycombe Wanderers,2,1,0,1,4852165
el1,2023-24,11,2023-10-03,Northampton Town,FC Reading,3,1,2,0,4852163
el1,2023-24,11,2023-10-03,Oxford United,Shrewsbury Town,3,0,1,0,4852164
el1,2023-24,11,2023-11-21,Leyton Orient,Lincoln City,0,1,0,0,4852162
el1,2023-24,12,2023-10-07,Bolton Wanderers,Carlisle United,1,3,1,1,4852166
el1,2023-24,12,2023-10-07,Charlton Athletic,FC Blackpool,2,2,0,1,4852168
el1,2023-24,12,2023-10-07,Cheltenham Town,Derby County,1,1,1,1,4852169
el1,2023-24,12,2023-10-07,Exeter City,FC Barnsley,0,1,0,0,4852170
el1,2023-24,12,2023-10-07,FC Portsmouth,FC Port Vale,2,0,0,0,4852175
el1,2023-24,12,2023-10-07,FC Stevenage,Wigan Athletic,1,0,1,0,4852177
el1,2023-24,12,2023-10-07,Fleetwood Town,Wycombe Wanderers,1,4,0,3,4852171
el1,2023-24,12,2023-10-07,Leyton Orient,FC Reading,2,1,1,1,4852172
