league,season,matchday,date,home,away,fth,fta,hth,hta,match_id
econf,2017-18,1,2017-08-05,AFC Fylde,Boreham Wood,2,2,1,1,3970678
econf,2017-18,1,2017-08-05,AFC Guiseley,Ebbsfleet United,2,2,1,0,3970677
econf,2017-18,1,2017-08-05,AFC Wrexham,Macclesfield Town,0,1,0,1,3970680
econf,2017-18,1,2017-08-05,Dagenham & Redbridge,AFC Barrow,2,1,2,0,3970675
econf,2017-18,1,2017-08-05,FC Bromley,FC Eastleigh,0,0,0,0,3970674
econf,2017-18,1,2017-08-05,FC Woking,FC Gateshead,2,1,2,1,3970685
econf,2017-18,1,2017-08-05,Halifax Town,Aldershot Town,0,2,0,0,3970676
econf,2017-18,1,2017-08-05,Hartlepool United,Dover Athletic,0,1,0,1,3970679
econf,2017-18,1,2017-08-05,Maidstone United,Maidenhead United,1,1,0,0,3970681
econf,2017-18,1,2017-08-05,Sutton United,Leyton Orient,2,0,2,0,3970683
econf,2017-18,1,2017-08-05,Torquay United,Tranmere Rovers,0,0,0,0,3970684
econf,2017-18,1,2017-09-05,Solihull Moors,FC Chester,2,0,1,0,3970682
econf,2017-18,2,2017-08-08,AFC Barrow,Halifax Town,0,0,0,0,3970686
econf,2017-18,2,2017-08-08,Aldershot Town,Torquay United,3,2,1,1,3970696
econf,2017-18,2,2017-08-08,Boreham Wood,Dagenham & Redbridge,1,2,1,2,3970687
econf,2017-18,2,2017-08-08,Dover Athletic,FC Bromley,1,2,0,1,3970689
econf,2017-18,2,2017-08-08,Ebbsfleet United,Maidstone United,2,0,0,0,3970691
econf,2017-18,2,2017-08-08,FC Chester,AFC Fylde,1,1,1,1,3970688
econf,2017-18,2,2017-08-08,FC Eastleigh,Sutton United,1,0,0,0,3970690
econf,2017-18,2,2017-08-08,FC Gateshead,AFC Guiseley,1,0,0,0,3970692
econf,2017-18,2,2017-08-08,Leyton Orient,Solihull Moors,3,1,1,0,3970693
econf,2017-18,2,2017-08-08,Macclesfield Town,Hartlepool United,1,1,1,0,3970694
econf,2017-18,2,2017-08-08,Maidenhead United,AFC Wrexham,1,2,1,1,3970695
econf,2017-18,2,2017-08-08,Tranmere Rovers,FC Woking,3,1,2,1,3970697
econf,2017-18,3,2017-08-12,AFC Barrow,FC Woking,3,0,1,0,3970698
econf,2017-18,3,2017-08-12,Aldershot Town,AFC Guiseley,6,0,4,0,3970708
econf,2017-18,3,2017-08-12,Boreham Wood,Solihull Moors,4,1,3,1,3970699
econf,2017-18,3,2017-08-12,Dover Athletic,AFC Wrexham,1,0,1,0,3970701
econf,2017-18,3,2017-08-12,Ebbsfleet United,AFC Fylde,3,3,2,3,3970703
