ticker,ex_date,buy_date,sell_date,N,div_gross_pct,strat_return_pct,bench_return_pct,excess_pct
ADS.DE,2010-05-07,2010-05-06,2010-05-07,1,0.8302716406954143,-3.9789096688753993,-3.2694893172924955,-0.709420351582904
ADS.DE,2010-05-07,2010-05-06,2010-05-11,3,0.8302716406954143,2.1294927099827343,2.191003788724009,-0.061511078741274816
ADS.DE,2010-05-07,2010-05-06,2010-05-13,5,0.8302716406954143,4.786360884610902,5.817456626035651,-1.0310957414247492
ADS.DE,2010-05-07,2010-05-06,2010-05-20,10,0.8302716406954143,-6.279944537317885,-0.6834479933911377,-5.5964965439267464
ADS.DE,2010-05-07,2010-05-06,2010-06-03,20,0.8302716406954143,0.041965064625163424,2.477381208576843,-2.43541614395168
ADS.DE,2011-05-13,2011-05-12,2011-05-13,1,1.5122872909722633,-1.2117265377015387,-0.5459485307188291,-0.6657780069827097
ADS.DE,2011-05-13,2011-05-12,2011-05-17,3,1.5122872909722633,-1.911157390654843,-2.5161411354779633,0.6049837448231201
ADS.DE,2011-05-13,2011-05-12,2011-05-19,5,1.5122872909722633,-1.8733493430428072,-1.1515420253312352,-0.721807317711572
ADS.DE,2011-05-13,2011-05-12,2011-05-26,10,1.5122872909722633,-2.7240123864442536,-4.43125414474448,1.707241758300227
ADS.DE,2011-05-13,2011-05-12,2011-06-09,20,1.5122872909722633,-4.841212574684054,-3.819074975024942,-1.022137599659112
ADS.DE,2012-05-11,2012-05-10,2012-05-11,1,1.6249593518411647,0.4001435129505686,0.9501407760240872,-0.5499972630735186
ADS.DE,2012-05-11,2012-05-10,2012-05-15,3,1.6249593518411647,0.46514337471893435,-1.7941077233238722,2.2592510980428067
ADS.DE,2012-05-11,2012-05-10,2012-05-17,5,1.6249593518411647,-0.6235826143532042,-3.2071193473841673,2.583536733030963
ADS.DE,2012-05-11,2012-05-10,2012-05-24,10,1.6249593518411647,-3.0935153742711377,-3.100795693176588,0.007280318905450098
ADS.DE,2012-05-11,2012-05-10,2012-06-07,20,1.6249593518411647,-3.2397619638859627,-5.734577863704357,2.4948158998183945
ADS.DE,2013-05-09,2013-05-08,2013-05-09,1,1.5942371222659124,-0.3260027657906526,0.15563994141366003,-0.4816427072043127
ADS.DE,2013-05-09,2013-05-08,2013-05-13,3,1.5942371222659124,-0.916460959222472,0.358559007105245,-1.2750199663277169
ADS.DE,2013-05-09,2013-05-08,2013-05-15,5,1.5942371222659124,1.30365860459744,1.3662293761984765,-0.06257077160103652
ADS.DE,2013-05-09,2013-05-08,2013-05-22,10,1.5942371222659124,4.692891878379812,3.408358461465797,1.2845334169140146
ADS.DE,2013-05-09,2013-05-08,2013-06-05,20,1.5942371222659124,-1.4124526890597382,-0.6488746112404756,-0.7635780778192626
ADS.DE,2014-05-09,2014-05-08,2014-05-09,1,1.9218448960281207,0.41559074775883503,-0.27010631656220413,0.6856970643210392
ADS.DE,2014-05-09,2014-05-08,2014-05-13,3,1.9218448960281207,2.8883649049820286,1.5303754491014312,1.3579894558805976
ADS.DE,2014-05-09,2014-05-08,2014-05-15,5,1.9218448960281207,2.593687494929214,0.5063743789628316,2.0873131159663827
ADS.DE,2014-05-09,2014-05-08,2014-05-22,10,1.9218448960281207,0.774343339357997,1.1814826176679802,-0.4071392783099831
ADS.DE,2014-05-09,2014-05-08,2014-06-05,20,1.9218448960281207,-0.07127310689851671,3.543411054588656,-3.614684161487173
