league,season,matchday,date,home,away,fth,fta,hth,hta,match_id
el2,2014-15,1,2014-08-09,AFC Wimbledon,Shrewsbury Town,2,2,1,1,2405911
el2,2014-15,1,2014-08-09,Accrington Stanley,Southend United,0,1,0,0,2405910
el2,2014-15,1,2014-08-09,Cambridge United,Plymouth Argyle,1,0,0,0,2405913
el2,2014-15,1,2014-08-09,Carlisle United,Luton Town,0,1,0,1,2405914
el2,2014-15,1,2014-08-09,Dagenham & Redbridge,FC Morecambe,0,3,0,0,2405915
el2,2014-15,1,2014-08-09,Exeter City,FC Portsmouth,1,1,1,0,2405916
el2,2014-15,1,2014-08-09,FC Bury,Cheltenham Town,0,1,0,1,2405912
el2,2014-15,1,2014-08-09,FC Stevenage,Hartlepool United,1,0,0,0,2405920
el2,2014-15,1,2014-08-09,Newport County,Wycombe Wanderers,0,2,0,2,2405917
el2,2014-15,1,2014-08-09,Northampton Town,Mansfield Town,1,0,1,0,2405918
el2,2014-15,1,2014-08-09,Oxford United,Burton Albion,0,1,0,1,2405919
el2,2014-15,1,2014-08-09,Tranmere Rovers,York City,1,1,0,0,2405921
el2,2014-15,2,2014-08-16,Burton Albion,Dagenham & Redbridge,2,1,0,1,2405922
el2,2014-15,2,2014-08-16,Cheltenham Town,Accrington Stanley,2,1,1,0,2405923
el2,2014-15,2,2014-08-16,FC Morecambe,Newport County,3,2,0,2,2405927
el2,2014-15,2,2014-08-16,FC Portsmouth,Cambridge United,2,1,1,0,2405929
el2,2014-15,2,2014-08-16,Hartlepool United,FC Bury,0,2,0,1,2405924
el2,2014-15,2,2014-08-16,Luton Town,AFC Wimbledon,0,1,0,1,2405925
el2,2014-15,2,2014-08-16,Mansfield Town,Oxford United,2,1,1,0,2405926
el2,2014-15,2,2014-08-16,Plymouth Argyle,Exeter City,3,0,2,0,2405928
el2,2014-15,2,2014-08-16,Shrewsbury Town,Tranmere Rovers,2,1,0,1,2405930
el2,2014-15,2,2014-08-16,Southend United,FC Stevenage,2,0,2,0,2405931
el2,2014-15,2,2014-08-16,Wycombe Wanderers,Carlisle United,3,1,0,0,2405932
el2,2014-15,2,2014-08-16,York City,Northampton Town,1,1,0,0,2405933
el2,2014-15,3,2014-08-19,Burton Albion,Exeter City,1,0,1,0,2405934
el2,2014-15,3,2014-08-19,Cheltenham Town,Carlisle United,0,0,0,0,2405935
el2,2014-15,3,2014-08-19,FC Morecambe,Oxford United,1,0,1,0,2405939
el2,2014-15,3,2014-08-19,FC Portsmouth,Northampton Town,2,0,2,0,2405941
el2,2014-15,3,2014-08-19,Hartlepool United,Dagenham & Redbridge,0,2,0,1,2405936
el2,2014-15,3,2014-08-19,Luton Town,FC Bury,1,1,0,0,2405937
