league,season,matchday,date,home,away,fth,fta,hth,hta,match_id
el2,2019-20,1,2019-08-03,Bradford City,Cambridge United,0,0,0,0,4582665
el2,2019-20,1,2019-08-03,Carlisle United,Crawley Town,2,1,2,1,4582666
el2,2019-20,1,2019-08-03,Colchester United,FC Port Vale,1,1,1,1,4582667
el2,2019-20,1,2019-08-03,Crewe Alexandra,Plymouth Argyle,0,3,0,2,4582668
el2,2019-20,1,2019-08-03,Exeter City,Macclesfield Town,1,0,0,0,4582669
el2,2019-20,1,2019-08-03,FC Morecambe,Grimsby Town,0,2,0,0,4582672
el2,2019-20,1,2019-08-03,Forest Green Rovers,Oldham Athletic,1,0,0,0,4582670
el2,2019-20,1,2019-08-03,Leyton Orient,Cheltenham Town,1,0,0,0,4582671
el2,2019-20,1,2019-08-03,Newport County,Mansfield Town,2,2,2,0,4582673
el2,2019-20,1,2019-08-03,Northampton Town,FC Walsall,0,1,0,1,4582674
el2,2019-20,1,2019-08-03,Salford City,FC Stevenage,2,0,1,0,4582664
el2,2019-20,1,2019-08-03,Scunthorpe United,Swindon Town,0,2,0,0,4582675
el2,2019-20,2,2019-08-10,Cambridge United,Newport County,0,0,0,0,4582676
el2,2019-20,2,2019-08-10,Cheltenham Town,Scunthorpe United,4,1,0,0,4582677
el2,2019-20,2,2019-08-10,Crawley Town,Salford City,2,0,1,0,4582678
el2,2019-20,2,2019-08-10,FC Port Vale,Northampton Town,1,1,1,1,4582684
el2,2019-20,2,2019-08-10,FC Stevenage,Exeter City,0,1,0,0,4582685
el2,2019-20,2,2019-08-10,FC Walsall,Forest Green Rovers,1,1,0,1,4582687
el2,2019-20,2,2019-08-10,Grimsby Town,Bradford City,1,1,0,0,4582679
el2,2019-20,2,2019-08-10,Macclesfield Town,Leyton Orient,3,0,1,0,4582680
el2,2019-20,2,2019-08-10,Mansfield Town,FC Morecambe,2,2,1,2,4582681
el2,2019-20,2,2019-08-10,Oldham Athletic,Crewe Alexandra,1,2,1,2,4582682
el2,2019-20,2,2019-08-10,Plymouth Argyle,Colchester United,1,0,0,0,4582683
el2,2019-20,2,2019-08-10,Swindon Town,Carlisle United,3,2,0,0,4582686
el2,2019-20,3,2019-08-17,Bradford City,Oldham Athletic,3,0,2,0,4582688
el2,2019-20,3,2019-08-17,Carlisle United,Mansfield Town,0,2,0,2,4582689
