MatchID,OldMatchday,NewMatchday,Date,Home,Away,SeasonID,BackupTimestamp
9028989,1,1,2014-08-09,Aldershot,Altrincham,81,2026-05-27T21:42:23
9028990,1,1,2014-08-09,Alfreton Town,Woking,81,2026-05-27T21:42:23
9028991,1,1,2014-08-09,Bristol Rvs,Grimsby,81,2026-05-27T21:42:23
9028994,1,1,2014-08-09,Dover Athletic,Halifax,81,2026-05-27T21:42:23
9028992,1,1,2014-08-09,Chester,Barnet,81,2026-05-27T21:42:23
9028993,1,1,2014-08-09,Dartford,Wrexham,81,2026-05-27T21:42:23
9028995,1,1,2014-08-09,Gateshead,Torquay,81,2026-05-27T21:42:23
9028999,1,1,2014-08-09,Southport,Forest Green,81,2026-05-27T21:42:23
9028996,1,1,2014-08-09,Lincoln,Kidderminster,81,2026-05-27T21:42:23
9028997,1,1,2014-08-09,Macclesfield,Braintree Town,81,2026-05-27T21:42:23
9028998,1,1,2014-08-09,Nuneaton Town,Eastleigh,81,2026-05-27T21:42:23
9029000,1,1,2014-08-09,Welling United,Telford United,81,2026-05-27T21:42:23
9029011,2,2,2014-08-12,Wrexham,Gateshead,81,2026-05-27T21:42:23
9029003,2,2,2014-08-12,Braintree Town,Dover Athletic,81,2026-05-27T21:42:23
9029001,2,2,2014-08-12,Altrincham,Lincoln,81,2026-05-27T21:42:23
9029002,2,2,2014-08-12,Barnet,Bristol Rvs,81,2026-05-27T21:42:23
9029010,2,2,2014-08-12,Woking,Dartford,81,2026-05-27T21:42:23
9029004,2,2,2014-08-12,Forest Green,Chester,81,2026-05-27T21:42:23
9029005,2,2,2014-08-12,Grimsby,Nuneaton Town,81,2026-05-27T21:42:23
9029006,2,2,2014-08-12,Halifax,Southport,81,2026-05-27T21:42:23
9029007,2,2,2014-08-12,Kidderminster,Alfreton Town,81,2026-05-27T21:42:23
9029008,2,2,2014-08-12,Telford United,Macclesfield,81,2026-05-27T21:42:23
9029009,2,2,2014-08-12,Torquay,Welling United,81,2026-05-27T21:42:23
9029012,2,2,2014-08-14,Eastleigh,Aldershot,81,2026-05-27T21:42:23
9029023,3,3,2014-08-16,Wrexham,Nuneaton Town,81,2026-05-27T21:42:23
9029015,3,3,2014-08-16,Braintree Town,Chester,81,2026-05-27T21:42:23
9029013,3,3,2014-08-16,Altrincham,Bristol Rvs,81,2026-05-27T21:42:23
9029014,3,3,2014-08-16,Barnet,Lincoln,81,2026-05-27T21:42:23
9029016,3,3,2014-08-16,Eastleigh,Gateshead,81,2026-05-27T21:42:23
9029022,3,3,2014-08-16,Woking,Macclesfield,81,2026-05-27T21:42:23
9029017,3,3,2014-08-16,Forest Green,Alfreton Town,81,2026-05-27T21:42:23
9029018,3,3,2014-08-16,Grimsby,Dover Athletic,81,2026-05-27T21:42:23
9029019,3,3,2014-08-16,Halifax,Welling United,81,2026-05-27T21:42:23
9029020,3,3,2014-08-16,Kidderminster,Dartford,81,2026-05-27T21:42:23
9029021,3,3,2014-08-16,Torquay,Southport,81,2026-05-27T21:42:23
9029024,3,3,2014-08-17,Telford United,Aldershot,81,2026-05-27T21:42:23
9029025,4,4,2014-08-22,Aldershot,Forest Green,81,2026-05-27T21:42:23
9029026,4,4,2014-08-23,Alfreton Town,Wrexham,81,2026-05-27T21:42:23
9029027,4,4,2014-08-23,Bristol Rvs,Telford United,81,2026-05-27T21:42:23
9029030,4,4,2014-08-23,Dover Athletic,Eastleigh,81,2026-05-27T21:42:23
9029028,4,4,2014-08-23,Chester,Halifax,81,2026-05-27T21:42:23
9029029,4,4,2014-08-23,Dartford,Torquay,81,2026-05-27T21:42:23
9029031,4,4,2014-08-23,Gateshead,Grimsby,81,2026-05-27T21:42:23
9029035,4,4,2014-08-23,Southport,Altrincham,81,2026-05-27T21:42:23
9029032,4,4,2014-08-23,Lincoln,Braintree Town,81,2026-05-27T21:42:23
9029033,4,4,2014-08-23,Macclesfield,Kidderminster,81,2026-05-27T21:42:23
9029034,4,4,2014-08-23,Nuneaton Town,Barnet,81,2026-05-27T21:42:23
9029036,4,4,2014-08-23,Welling United,Woking,81,2026-05-27T21:42:23
9029048,5,5,2014-08-25,Wrexham,Macclesfield,81,2026-05-27T21:42:23
9029039,5,5,2014-08-25,Braintree Town,Nuneaton Town,81,2026-05-27T21:42:23
9029037,5,5,2014-08-25,Altrincham,Gateshead,81,2026-05-27T21:42:23
9029038,5,5,2014-08-25,Barnet,Dartford,81,2026-05-27T21:42:23
9029040,5,5,2014-08-25,Eastleigh,Welling United,81,2026-05-27T21:42:23
9029047,5,5,2014-08-25,Woking,Dover Athletic,81,2026-05-27T21:42:23
9029041,5,5,2014-08-25,Forest Green,Bristol Rvs,81,2026-05-27T21:42:23
9029042,5,5,2014-08-25,Grimsby,Alfreton Town,81,2026-05-27T21:42:23
9029043,5,5,2014-08-25,Halifax,Lincoln,81,2026-05-27T21:42:23
9029044,5,5,2014-08-25,Kidderminster,Chester,81,2026-05-27T21:42:23
9029045,5,5,2014-08-25,Telford United,Southport,81,2026-05-27T21:42:23
9029046,5,5,2014-08-25,Torquay,Aldershot,81,2026-05-27T21:42:23
9029060,6,6,2014-08-30,Wrexham,Woking,81,2026-05-27T21:42:23
9029049,6,6,2014-08-30,Aldershot,Grimsby,81,2026-05-27T21:42:23
9029050,6,6,2014-08-30,Alfreton Town,Braintree Town,81,2026-05-27T21:42:23
9029051,6,6,2014-08-30,Bristol Rvs,Halifax,81,2026-05-27T21:42:23
9029053,6,6,2014-08-30,Dover Athletic,Kidderminster,81,2026-05-27T21:42:23
