MatchID,OldMatchday,NewMatchday,Date,Home,Away,SeasonID,BackupTimestamp
9030787,1,1,2015-08-08,Rochdale,Peterboro,87,2026-05-27T21:26:32
9030779,1,1,2015-08-08,Burton,Scunthorpe,87,2026-05-27T21:26:32
9030781,1,1,2015-08-08,Colchester,Blackpool,87,2026-05-27T21:26:32
9030782,1,1,2015-08-08,Coventry,Wigan,87,2026-05-27T21:26:32
9030783,1,1,2015-08-08,Crewe,Port Vale,87,2026-05-27T21:26:32
9030784,1,1,2015-08-08,Doncaster,Bury,87,2026-05-27T21:26:32
9030780,1,1,2015-08-08,Chesterfield,Barnsley,87,2026-05-27T21:26:32
9030786,1,1,2015-08-08,Gillingham,Sheffield United,87,2026-05-27T21:26:32
9030790,1,1,2015-08-08,Walsall,Oldham,87,2026-05-27T21:26:32
9030785,1,1,2015-08-08,Fleetwood Town,Southend,87,2026-05-27T21:26:32
9030788,1,1,2015-08-08,Shrewsbury,Millwall,87,2026-05-27T21:26:32
9030789,1,1,2015-08-08,Swindon,Bradford,87,2026-05-27T21:26:32
9030793,2,2,2015-08-15,Bradford,Shrewsbury,87,2026-05-27T21:26:32
9030791,2,2,2015-08-15,Barnsley,Burton,87,2026-05-27T21:26:32
9030792,2,2,2015-08-15,Blackpool,Rochdale,87,2026-05-27T21:26:32
9030794,2,2,2015-08-15,Bury,Swindon,87,2026-05-27T21:26:32
9030795,2,2,2015-08-15,Millwall,Coventry,87,2026-05-27T21:26:32
9030798,2,2,2015-08-15,Port Vale,Gillingham,87,2026-05-27T21:26:32
9030796,2,2,2015-08-15,Oldham,Fleetwood Town,87,2026-05-27T21:26:32
9030797,2,2,2015-08-15,Peterboro,Colchester,87,2026-05-27T21:26:32
9030799,2,2,2015-08-15,Scunthorpe,Crewe,87,2026-05-27T21:26:32
9030800,2,2,2015-08-15,Sheffield United,Chesterfield,87,2026-05-27T21:26:32
9030801,2,2,2015-08-15,Southend,Walsall,87,2026-05-27T21:26:32
9030802,2,2,2015-08-16,Wigan,Doncaster,87,2026-05-27T21:26:32
9030810,3,3,2015-08-18,Rochdale,Walsall,87,2026-05-27T21:26:32
9030804,3,3,2015-08-18,Bradford,Gillingham,87,2026-05-27T21:26:32
9030806,3,3,2015-08-18,Colchester,Oldham,87,2026-05-27T21:26:32
9030807,3,3,2015-08-18,Coventry,Crewe,87,2026-05-27T21:26:32
9030803,3,3,2015-08-18,Blackpool,Burton,87,2026-05-27T21:26:32
9030805,3,3,2015-08-18,Bury,Fleetwood Town,87,2026-05-27T21:26:32
9030808,3,3,2015-08-18,Millwall,Barnsley,87,2026-05-27T21:26:32
9030809,3,3,2015-08-18,Peterboro,Sheffield United,87,2026-05-27T21:26:32
9030811,3,3,2015-08-18,Shrewsbury,Chesterfield,87,2026-05-27T21:26:32
9030812,3,3,2015-08-18,Swindon,Port Vale,87,2026-05-27T21:26:32
9030813,3,3,2015-08-19,Doncaster,Southend,87,2026-05-27T21:26:32
9030814,3,3,2015-08-19,Wigan,Scunthorpe,87,2026-05-27T21:26:32
9030816,4,4,2015-08-22,Burton,Peterboro,87,2026-05-27T21:26:32
9030818,4,4,2015-08-22,Crewe,Bury,87,2026-05-27T21:26:32
9030815,4,4,2015-08-22,Barnsley,Bradford,87,2026-05-27T21:26:32
9030817,4,4,2015-08-22,Chesterfield,Rochdale,87,2026-05-27T21:26:32
9030820,4,4,2015-08-22,Gillingham,Wigan,87,2026-05-27T21:26:32
9030822,4,4,2015-08-22,Port Vale,Doncaster,87,2026-05-27T21:26:32
9030826,4,4,2015-08-22,Walsall,Coventry,87,2026-05-27T21:26:32
9030819,4,4,2015-08-22,Fleetwood Town,Colchester,87,2026-05-27T21:26:32
9030821,4,4,2015-08-22,Oldham,Shrewsbury,87,2026-05-27T21:26:32
9030823,4,4,2015-08-22,Scunthorpe,Millwall,87,2026-05-27T21:26:32
9030824,4,4,2015-08-22,Sheffield United,Blackpool,87,2026-05-27T21:26:32
9030825,4,4,2015-08-22,Southend,Swindon,87,2026-05-27T21:26:32
9030834,5,5,2015-08-29,Rochdale,Barnsley,87,2026-05-27T21:26:32
9030828,5,5,2015-08-29,Bradford,Port Vale,87,2026-05-27T21:26:32
9030830,5,5,2015-08-29,Colchester,Scunthorpe,87,2026-05-27T21:26:32
9030831,5,5,2015-08-29,Doncaster,Fleetwood Town,87,2026-05-27T21:26:32
9030827,5,5,2015-08-29,Blackpool,Walsall,87,2026-05-27T21:26:32
9030829,5,5,2015-08-29,Bury,Oldham,87,2026-05-27T21:26:32
9030832,5,5,2015-08-29,Millwall,Chesterfield,87,2026-05-27T21:26:32
9030833,5,5,2015-08-29,Peterboro,Gillingham,87,2026-05-27T21:26:32
9030835,5,5,2015-08-29,Shrewsbury,Burton,87,2026-05-27T21:26:32
9030836,5,5,2015-08-29,Swindon,Sheffield United,87,2026-05-27T21:26:32
9030837,5,5,2015-08-29,Wigan,Crewe,87,2026-05-27T21:26:32
9030838,5,5,2015-08-31,Coventry,Southend,87,2026-05-27T21:26:32
9030841,6,6,2015-09-05,Crewe,Swindon,87,2026-05-27T21:26:32
9030839,6,6,2015-09-05,Barnsley,Shrewsbury,87,2026-05-27T21:26:32
9030840,6,6,2015-09-05,Chesterfield,Wigan,87,2026-05-27T21:26:32
9030843,6,6,2015-09-05,Gillingham,Doncaster,87,2026-05-27T21:26:32
9030847,6,6,2015-09-05,Walsall,Bury,87,2026-05-27T21:26:32
9030842,6,6,2015-09-05,Fleetwood Town,Rochdale,87,2026-05-27T21:26:32
9030844,6,6,2015-09-05,Oldham,Bradford,87,2026-05-27T21:26:32
9030845,6,6,2015-09-05,Scunthorpe,Blackpool,87,2026-05-27T21:26:32
9030846,6,6,2015-09-05,Southend,Peterboro,87,2026-05-27T21:26:32
9030848,6,6,2015-09-06,Burton,Coventry,87,2026-05-27T21:26:32
9030861,8,6,2015-09-15,Port Vale,Millwall,87,2026-05-27T21:26:32
9030862,8,6,2015-09-15,Sheffield United,Colchester,87,2026-05-27T21:26:32
9030850,7,7,2015-09-12,Burton,Rochdale,87,2026-05-27T21:26:32
9030852,7,7,2015-09-12,Crewe,Millwall,87,2026-05-27T21:26:32
9030849,7,7,2015-09-12,Barnsley,Swindon,87,2026-05-27T21:26:32
9030851,7,7,2015-09-12,Chesterfield,Colchester,87,2026-05-27T21:26:32
9030854,7,7,2015-09-12,Gillingham,Blackpool,87,2026-05-27T21:26:32
9030856,7,7,2015-09-12,Port Vale,Wigan,87,2026-05-27T21:26:32
9030860,7,7,2015-09-12,Walsall,Doncaster,87,2026-05-27T21:26:32
9030853,7,7,2015-09-12,Fleetwood Town,Bradford,87,2026-05-27T21:26:32
9030855,7,7,2015-09-12,Oldham,Peterboro,87,2026-05-27T21:26:32
9030857,7,7,2015-09-12,Scunthorpe,Coventry,87,2026-05-27T21:26:32
9030858,7,7,2015-09-12,Sheffield United,Bury,87,2026-05-27T21:26:32
9030859,7,7,2015-09-12,Southend,Shrewsbury,87,2026-05-27T21:26:32
9030870,8,8,2015-09-19,Rochdale,Scunthorpe,87,2026-05-27T21:26:32
9030865,9,8,2015-09-19,Colchester,Gillingham,87,2026-05-27T21:26:32
9030866,8,8,2015-09-19,Coventry,Chesterfield,87,2026-05-27T21:26:32
9030867,8,8,2015-09-19,Doncaster,Oldham,87,2026-05-27T21:26:32
