league,season,matchday,date,home,away,fth,fta,hth,hta,match_id
el2,2017-18,1,2017-08-05,Accrington Stanley,Colchester United,3,1,2,0,3820965
el2,2017-18,1,2017-08-05,Carlisle United,Swindon Town,1,2,0,1,3820966
el2,2017-18,1,2017-08-05,Coventry City,Notts County,3,0,1,0,3820968
el2,2017-18,1,2017-08-05,Crawley Town,FC Port Vale,1,3,0,2,3820969
el2,2017-18,1,2017-08-05,Crewe Alexandra,Mansfield Town,2,2,1,0,3820970
el2,2017-18,1,2017-08-05,Exeter City,Cambridge United,1,0,1,0,3820971
el2,2017-18,1,2017-08-05,FC Chesterfield,Grimsby Town,1,3,0,2,3820967
el2,2017-18,1,2017-08-05,FC Morecambe,Cheltenham Town,2,1,0,1,3820974
el2,2017-18,1,2017-08-05,FC Stevenage,Newport County,3,3,1,0,3820975
el2,2017-18,1,2017-08-05,Forest Green Rovers,FC Barnet,2,2,2,0,3820972
el2,2017-18,1,2017-08-05,Luton Town,Yeovil Town,8,2,5,1,3820973
el2,2017-18,1,2017-08-05,Wycombe Wanderers,Lincoln City,2,2,2,1,3820976
el2,2017-18,2,2017-08-12,Cambridge United,Carlisle United,1,2,1,2,3820978
el2,2017-18,2,2017-08-12,Cheltenham Town,Crawley Town,1,0,1,0,3820979
el2,2017-18,2,2017-08-12,Colchester United,FC Stevenage,1,1,0,0,3820980
el2,2017-18,2,2017-08-12,Crewe Alexandra,Newport County,1,1,1,1,3820984
el2,2017-18,2,2017-08-12,FC Barnet,Luton Town,1,0,0,0,3820977
el2,2017-18,2,2017-08-12,FC Port Vale,Wycombe Wanderers,2,3,0,3,3820986
el2,2017-18,2,2017-08-12,Grimsby Town,Coventry City,0,2,0,0,3820981
el2,2017-18,2,2017-08-12,Lincoln City,FC Morecambe,1,1,0,0,3820982
el2,2017-18,2,2017-08-12,Mansfield Town,Forest Green Rovers,2,0,0,0,3820983
el2,2017-18,2,2017-08-12,Notts County,FC Chesterfield,2,0,0,0,3820985
el2,2017-18,2,2017-08-12,Swindon Town,Exeter City,1,1,0,1,3820987
el2,2017-18,2,2017-08-12,Yeovil Town,Accrington Stanley,3,2,3,1,3820988
