MatchID,OldMatchday,NewMatchday,Date,Home,Away,SeasonID,BackupTimestamp
9016314,1,1,2010-08-07,Rochdale,Hartlepool,47,2026-05-27T22:09:56
9016309,1,1,2010-08-07,Carlisle,Brentford,47,2026-05-27T22:09:56
9016310,1,1,2010-08-07,Charlton,Bournemouth,47,2026-05-27T22:09:56
9016311,1,1,2010-08-07,Exeter,Colchester,47,2026-05-27T22:09:56
9016316,1,1,2010-08-07,Southampton,Plymouth,47,2026-05-27T22:09:56
9016319,1,1,2010-08-07,Walsall,Milton Keynes Dons,47,2026-05-27T22:09:56
9016312,1,1,2010-08-07,Notts County,Huddersfield,47,2026-05-27T22:09:56
9016313,1,1,2010-08-07,Peterboro,Bristol Rvs,47,2026-05-27T22:09:56
9016315,1,1,2010-08-07,Sheffield Weds,Dag and Red,47,2026-05-27T22:09:56
9016317,1,1,2010-08-07,Swindon,Brighton,47,2026-05-27T22:09:56
9016318,1,1,2010-08-07,Tranmere,Oldham,47,2026-05-27T22:09:56
9016320,1,1,2010-08-07,Yeovil,Leyton Orient,47,2026-05-27T22:09:56
9016321,2,2,2010-08-13,Leyton Orient,Charlton,47,2026-05-27T22:09:56
9016322,2,2,2010-08-14,Bournemouth,Peterboro,47,2026-05-27T22:09:56
9016324,2,2,2010-08-14,Brighton,Rochdale,47,2026-05-27T22:09:56
9016325,2,2,2010-08-14,Bristol Rvs,Yeovil,47,2026-05-27T22:09:56
9016326,2,2,2010-08-14,Colchester,Sheffield Weds,47,2026-05-27T22:09:56
9016323,2,2,2010-08-14,Brentford,Walsall,47,2026-05-27T22:09:56
9016327,2,2,2010-08-14,Hartlepool,Swindon,47,2026-05-27T22:09:56
9016328,2,2,2010-08-14,Huddersfield,Tranmere,47,2026-05-27T22:09:56
9016329,2,2,2010-08-14,Oldham,Notts County,47,2026-05-27T22:09:56
9016330,2,2,2010-08-14,Plymouth,Carlisle,47,2026-05-27T22:09:56
9016378,2,2,2010-09-15,Milton Keynes Dons,Southampton,47,2026-05-27T22:09:56
9016391,8,2,2010-09-21,Dag and Red,Exeter,47,2026-05-27T22:09:56
9016336,3,3,2010-08-21,Rochdale,Colchester,47,2026-05-27T22:09:56
9016331,3,3,2010-08-21,Carlisle,Milton Keynes Dons,47,2026-05-27T22:09:56
9016332,3,3,2010-08-21,Charlton,Oldham,47,2026-05-27T22:09:56
9016333,3,3,2010-08-21,Exeter,Bristol Rvs,47,2026-05-27T22:09:56
9016338,3,3,2010-08-21,Southampton,Leyton Orient,47,2026-05-27T22:09:56
9016341,3,3,2010-08-21,Walsall,Plymouth,47,2026-05-27T22:09:56
9016334,3,3,2010-08-21,Notts County,Dag and Red,47,2026-05-27T22:09:56
9016335,3,3,2010-08-21,Peterboro,Huddersfield,47,2026-05-27T22:09:56
9016337,3,3,2010-08-21,Sheffield Weds,Brighton,47,2026-05-27T22:09:56
9016339,3,3,2010-08-21,Swindon,Brentford,47,2026-05-27T22:09:56
9016340,3,3,2010-08-21,Tranmere,Bournemouth,47,2026-05-27T22:09:56
9016342,3,3,2010-08-21,Yeovil,Hartlepool,47,2026-05-27T22:09:56
9016343,4,4,2010-08-27,Colchester,Carlisle,47,2026-05-27T22:09:56
9016344,4,4,2010-08-28,Bournemouth,Notts County,47,2026-05-27T22:09:56
9016346,4,4,2010-08-28,Brighton,Walsall,47,2026-05-27T22:09:56
9016347,4,4,2010-08-28,Bristol Rvs,Southampton,47,2026-05-27T22:09:56
9016348,4,4,2010-08-28,Dag and Red,Tranmere,47,2026-05-27T22:09:56
9016345,4,4,2010-08-28,Brentford,Rochdale,47,2026-05-27T22:09:56
9016349,4,4,2010-08-28,Hartlepool,Sheffield Weds,47,2026-05-27T22:09:56
9016350,4,4,2010-08-28,Huddersfield,Charlton,47,2026-05-27T22:09:56
9016351,4,4,2010-08-28,Leyton Orient,Exeter,47,2026-05-27T22:09:56
9016352,4,4,2010-08-28,Milton Keynes Dons,Swindon,47,2026-05-27T22:09:56
9016353,4,4,2010-08-28,Oldham,Yeovil,47,2026-05-27T22:09:56
9016354,4,4,2010-08-28,Plymouth,Peterboro,47,2026-05-27T22:09:56
9016355,5,5,2010-09-04,Carlisle,Swindon,47,2026-05-27T22:09:56
9016356,5,5,2010-09-04,Dag and Red,Leyton Orient,47,2026-05-27T22:09:56
9016357,5,5,2010-09-04,Exeter,Charlton,47,2026-05-27T22:09:56
9016362,5,5,2010-09-04,Southampton,Rochdale,47,2026-05-27T22:09:56
9016364,5,5,2010-09-04,Walsall,Colchester,47,2026-05-27T22:09:56
9016358,5,5,2010-09-04,Huddersfield,Bournemouth,47,2026-05-27T22:09:56
9016359,5,5,2010-09-04,Milton Keynes Dons,Hartlepool,47,2026-05-27T22:09:56
9016360,5,5,2010-09-04,Notts County,Yeovil,47,2026-05-27T22:09:56
9016361,5,5,2010-09-04,Oldham,Bristol Rvs,47,2026-05-27T22:09:56
9016363,5,5,2010-09-04,Tranmere,Peterboro,47,2026-05-27T22:09:56
9016365,5,5,2010-09-05,Brentford,Sheffield Weds,47,2026-05-27T22:09:56
9016392,5,5,2010-09-21,Plymouth,Brighton,47,2026-05-27T22:09:56
9016366,6,6,2010-09-11,Bournemouth,Dag and Red,47,2026-05-27T22:09:56
9016374,6,6,2010-09-11,Rochdale,Walsall,47,2026-05-27T22:09:56
9016367,6,6,2010-09-11,Brighton,Milton Keynes Dons,47,2026-05-27T22:09:56
9016368,6,6,2010-09-11,Bristol Rvs,Brentford,47,2026-05-27T22:09:56
9016369,6,6,2010-09-11,Charlton,Notts County,47,2026-05-27T22:09:56
9016370,6,6,2010-09-11,Colchester,Plymouth,47,2026-05-27T22:09:56
9016371,6,6,2010-09-11,Hartlepool,Exeter,47,2026-05-27T22:09:56
9016372,6,6,2010-09-11,Leyton Orient,Huddersfield,47,2026-05-27T22:09:56
9016373,6,6,2010-09-11,Peterboro,Oldham,47,2026-05-27T22:09:56
9016375,6,6,2010-09-11,Sheffield Weds,Carlisle,47,2026-05-27T22:09:56
9016376,6,6,2010-09-11,Swindon,Southampton,47,2026-05-27T22:09:56
9016377,6,6,2010-09-11,Yeovil,Tranmere,47,2026-05-27T22:09:56
