league,season,matchday,date,home,away,fth,fta,hth,hta,match_id
el2,2013-14,1,2013-08-03,AFC Rochdale,Hartlepool United,3,0,1,0,1893503
el2,2013-14,1,2013-08-03,Cheltenham Town,Burton Albion,2,2,2,1,1893498
el2,2013-14,1,2013-08-03,Exeter City,Bristol Rovers,2,1,0,0,1893499
el2,2013-14,1,2013-08-03,FC Bury,FC Chesterfield,0,2,0,0,1893497
el2,2013-14,1,2013-08-03,FC Portsmouth,Oxford United,1,4,1,2,1893502
el2,2013-14,1,2013-08-03,Fleetwood Town,Dagenham & Redbridge,3,1,2,1,1893500
el2,2013-14,1,2013-08-03,Newport County,Accrington Stanley,4,1,2,0,1893501
el2,2013-14,1,2013-08-03,Scunthorpe United,Mansfield Town,2,0,2,0,1893504
el2,2013-14,1,2013-08-03,Southend United,Plymouth Argyle,1,0,1,0,1893505
el2,2013-14,1,2013-08-03,Torquay United,AFC Wimbledon,1,1,0,0,1893506
el2,2013-14,1,2013-08-03,Wycombe Wanderers,FC Morecambe,1,0,1,0,1893507
el2,2013-14,1,2013-08-03,York City,Northampton Town,1,0,0,0,1893508
el2,2013-14,2,2013-08-10,AFC Wimbledon,Wycombe Wanderers,1,0,1,0,1893510
el2,2013-14,2,2013-08-10,Accrington Stanley,FC Portsmouth,2,2,0,0,1893509
el2,2013-14,2,2013-08-10,Bristol Rovers,Scunthorpe United,0,0,0,0,1893511
el2,2013-14,2,2013-08-10,Burton Albion,AFC Rochdale,1,0,1,0,1893512
el2,2013-14,2,2013-08-10,Dagenham & Redbridge,York City,2,0,1,0,1893514
el2,2013-14,2,2013-08-10,FC Chesterfield,Cheltenham Town,2,0,1,0,1893513
el2,2013-14,2,2013-08-10,FC Morecambe,Torquay United,1,1,1,0,1893517
el2,2013-14,2,2013-08-10,Hartlepool United,Southend United,0,1,0,1,1893515
el2,2013-14,2,2013-08-10,Mansfield Town,Exeter City,0,0,0,0,1893516
el2,2013-14,2,2013-08-10,Northampton Town,Newport County,3,1,2,0,1893518
el2,2013-14,2,2013-08-10,Oxford United,FC Bury,2,1,1,0,1893519
el2,2013-14,2,2013-08-10,Plymouth Argyle,Fleetwood Town,0,2,0,2,1893520
el2,2013-14,3,2013-08-17,AFC Rochdale,FC Chesterfield,2,2,1,1,1893527
el2,2013-14,3,2013-08-17,Cheltenham Town,Plymouth Argyle,1,3,0,3,1893522
el2,2013-14,3,2013-08-17,Exeter City,AFC Wimbledon,2,0,2,0,1893523
el2,2013-14,3,2013-08-17,FC Bury,Accrington Stanley,3,0,2,0,1893521
el2,2013-14,3,2013-08-17,FC Portsmouth,FC Morecambe,3,0,3,0,1893526
el2,2013-14,3,2013-08-17,Fleetwood Town,Burton Albion,2,3,0,3,1893524
el2,2013-14,3,2013-08-17,Newport County,Bristol Rovers,1,0,1,0,1893525
el2,2013-14,3,2013-08-17,Scunthorpe United,Dagenham & Redbridge,1,1,0,0,1893528
el2,2013-14,3,2013-08-17,Southend United,Northampton Town,2,0,1,0,1893529
el2,2013-14,3,2013-08-17,Torquay United,Oxford United,1,3,0,0,1893530
el2,2013-14,3,2013-08-17,Wycombe Wanderers,Mansfield Town,0,1,0,0,1893531
el2,2013-14,3,2013-08-17,York City,Hartlepool United,0,0,0,0,1893532
el2,2013-14,4,2013-08-24,AFC Wimbledon,Scunthorpe United,3,2,0,2,1893534
el2,2013-14,4,2013-08-24,Accrington Stanley,Cheltenham Town,0,1,0,0,1893533
el2,2013-14,4,2013-08-24,Bristol Rovers,York City,3,2,2,1,1893535
el2,2013-14,4,2013-08-24,Burton Albion,FC Bury,2,2,0,2,1893536
el2,2013-14,4,2013-08-24,Dagenham & Redbridge,Newport County,1,1,0,1,1893538
el2,2013-14,4,2013-08-24,FC Chesterfield,Southend United,2,1,0,0,1893537
el2,2013-14,4,2013-08-24,FC Morecambe,Exeter City,2,0,0,0,1893541
el2,2013-14,4,2013-08-24,Hartlepool United,Fleetwood Town,0,1,0,1,1893539
el2,2013-14,4,2013-08-24,Mansfield Town,FC Portsmouth,2,2,1,2,1893540
el2,2013-14,4,2013-08-24,Northampton Town,Torquay United,1,2,1,0,1893542
el2,2013-14,4,2013-08-24,Oxford United,Wycombe Wanderers,2,2,0,1,1893543
el2,2013-14,4,2013-08-24,Plymouth Argyle,AFC Rochdale,1,0,1,0,1893544
el2,2013-14,5,2013-08-31,AFC Wimbledon,Fleetwood Town,2,0,2,0,1893546
el2,2013-14,5,2013-08-31,Accrington Stanley,Burton Albion,0,1,0,0,1893545
el2,2013-14,5,2013-08-31,Bristol Rovers,Northampton Town,1,0,1,0,1893547
el2,2013-14,5,2013-08-31,Exeter City,York City,2,1,1,1,1893549
el2,2013-14,5,2013-08-31,FC Bury,Cheltenham Town,4,1,3,1,1893548
el2,2013-14,5,2013-08-31,FC Morecambe,Plymouth Argyle,2,1,1,1,1893551
el2,2013-14,5,2013-08-31,FC Portsmouth,FC Chesterfield,0,2,0,0,1893553
el2,2013-14,5,2013-08-31,Mansfield Town,Dagenham & Redbridge,3,0,1,0,1893550
el2,2013-14,5,2013-08-31,Oxford United,AFC Rochdale,1,1,1,0,1893552
el2,2013-14,5,2013-08-31,Scunthorpe United,Newport County,1,1,1,0,1893554
el2,2013-14,5,2013-08-31,Torquay United,Hartlepool United,0,0,0,0,1893555
el2,2013-14,5,2013-08-31,Wycombe Wanderers,Southend United,2,1,2,1,1893556
el2,2013-14,6,2013-09-07,AFC Rochdale,FC Bury,1,0,1,0,1893566
