league,season,matchday,date,home,away,fth,fta,hth,hta,match_id
el1,2017-18,1,2017-08-05,Bradford City,FC Blackpool,2,1,1,1,3820413
el1,2017-18,1,2017-08-05,Charlton Athletic,Bristol Rovers,1,0,1,0,3820415
el1,2017-18,1,2017-08-05,Doncaster Rovers,FC Gillingham,0,0,0,0,3820416
el1,2017-18,1,2017-08-05,FC Bury,FC Walsall,1,0,1,0,3820414
el1,2017-18,1,2017-08-05,FC Portsmouth,AFC Rochdale,2,0,0,0,3820421
el1,2017-18,1,2017-08-05,Fleetwood Town,Rotherham United,2,0,1,0,3820417
el1,2017-18,1,2017-08-05,Milton Keynes Dons,Wigan Athletic,0,1,0,1,3820418
el1,2017-18,1,2017-08-05,Oldham Athletic,Oxford United,0,2,0,1,3820419
el1,2017-18,1,2017-08-05,Peterborough United,Plymouth Argyle,2,1,1,0,3820420
el1,2017-18,1,2017-08-05,Scunthorpe United,AFC Wimbledon,1,1,1,0,3820422
el1,2017-18,1,2017-08-05,Shrewsbury Town,Northampton Town,1,0,0,0,3820423
el1,2017-18,1,2017-08-05,Southend United,Blackburn Rovers,2,1,2,0,3820424
el1,2017-18,2,2017-08-12,AFC Rochdale,Scunthorpe United,1,1,0,0,3820433
el1,2017-18,2,2017-08-12,AFC Wimbledon,Shrewsbury Town,0,1,0,1,3820425
el1,2017-18,2,2017-08-12,Blackburn Rovers,Doncaster Rovers,1,3,0,0,3820426
el1,2017-18,2,2017-08-12,Bristol Rovers,Peterborough United,1,4,0,1,3820428
el1,2017-18,2,2017-08-12,FC Blackpool,Milton Keynes Dons,1,0,1,0,3820427
el1,2017-18,2,2017-08-12,FC Gillingham,Bradford City,0,1,0,1,3820429
el1,2017-18,2,2017-08-12,FC Walsall,Oldham Athletic,2,1,0,1,3820435
el1,2017-18,2,2017-08-12,Northampton Town,Fleetwood Town,0,1,0,0,3820430
el1,2017-18,2,2017-08-12,Oxford United,FC Portsmouth,3,0,0,0,3820431
el1,2017-18,2,2017-08-12,Plymouth Argyle,Charlton Athletic,2,0,0,0,3820432
el1,2017-18,2,2017-08-12,Rotherham United,Southend United,5,0,4,0,3820434
el1,2017-18,2,2017-08-13,Wigan Athletic,FC Bury,4,1,1,1,3820436
el1,2017-18,3,2017-08-19,Bradford City,Blackburn Rovers,0,1,0,0,3820437
el1,2017-18,3,2017-08-19,Charlton Athletic,Northampton Town,4,1,1,0,3820439
el1,2017-18,3,2017-08-19,Doncaster Rovers,FC Blackpool,3,3,2,1,3820440
el1,2017-18,3,2017-08-19,FC Bury,Bristol Rovers,2,3,0,0,3820438
el1,2017-18,3,2017-08-19,FC Portsmouth,FC Walsall,1,1,0,0,3820445
el1,2017-18,3,2017-08-19,Fleetwood Town,AFC Wimbledon,2,0,1,0,3820441
el1,2017-18,3,2017-08-19,Milton Keynes Dons,FC Gillingham,1,0,0,0,3820442
el1,2017-18,3,2017-08-19,Oldham Athletic,Wigan Athletic,0,2,0,2,3820443
el1,2017-18,3,2017-08-19,Peterborough United,Rotherham United,2,1,0,0,3820444
el1,2017-18,3,2017-08-19,Scunthorpe United,Oxford United,1,0,0,0,3820446
el1,2017-18,3,2017-08-19,Shrewsbury Town,AFC Rochdale,3,2,2,1,3820447
el1,2017-18,3,2017-08-19,Southend United,Plymouth Argyle,1,1,1,0,3820448
el1,2017-18,4,2017-08-26,AFC Rochdale,FC Bury,0,0,0,0,3820457
el1,2017-18,4,2017-08-26,AFC Wimbledon,Doncaster Rovers,2,0,0,0,3820449
el1,2017-18,4,2017-08-26,Blackburn Rovers,Milton Keynes Dons,4,1,2,1,3820450
el1,2017-18,4,2017-08-26,Bristol Rovers,Fleetwood Town,3,1,2,0,3820452
el1,2017-18,4,2017-08-26,FC Blackpool,Oldham Athletic,2,1,2,0,3820451
el1,2017-18,4,2017-08-26,FC Gillingham,Southend United,3,3,0,1,3820453
el1,2017-18,4,2017-08-26,FC Walsall,Bradford City,3,3,0,2,3820459
el1,2017-18,4,2017-08-26,Northampton Town,Peterborough United,1,4,0,2,3820454
el1,2017-18,4,2017-08-26,Oxford United,Shrewsbury Town,1,1,0,0,3820455
el1,2017-18,4,2017-08-26,Plymouth Argyle,Scunthorpe United,0,4,0,1,3820456
el1,2017-18,4,2017-08-26,Rotherham United,Charlton Athletic,0,2,0,1,3820458
el1,2017-18,4,2017-08-26,Wigan Athletic,FC Portsmouth,1,1,1,0,3820460
el1,2017-18,5,2017-09-02,Bradford City,Bristol Rovers,3,1,1,0,3820463
el1,2017-18,5,2017-09-02,Doncaster Rovers,Peterborough United,0,0,0,0,3820465
el1,2017-18,5,2017-09-02,FC Blackpool,AFC Wimbledon,1,0,0,0,3820462
el1,2017-18,5,2017-09-02,FC Bury,Scunthorpe United,0,1,0,0,3820464
el1,2017-18,5,2017-09-02,FC Gillingham,Shrewsbury Town,1,2,0,2,3820466
el1,2017-18,5,2017-09-02,FC Walsall,Plymouth Argyle,2,1,1,0,3820471
el1,2017-18,5,2017-09-02,Milton Keynes Dons,Oxford United,1,1,0,1,3820467
el1,2017-18,5,2017-09-02,Oldham Athletic,Charlton Athletic,3,4,1,2,3820468
el1,2017-18,5,2017-09-02,Southend United,AFC Rochdale,0,0,0,0,3820470
el1,2017-18,5,2017-09-03,FC Portsmouth,Rotherham United,0,1,0,1,3820469
el1,2017-18,5,2017-09-19,Wigan Athletic,Northampton Town,1,0,0,0,3820472
el1,2017-18,5,2017-10-31,Blackburn Rovers,Fleetwood Town,2,2,0,0,3820461
el1,2017-18,6,2017-09-09,AFC Rochdale,Blackburn Rovers,0,3,0,1,3820481
el1,2017-18,6,2017-09-09,AFC Wimbledon,FC Portsmouth,0,2,0,1,3820473
el1,2017-18,6,2017-09-09,Bristol Rovers,FC Walsall,2,1,1,0,3820474
el1,2017-18,6,2017-09-09,Charlton Athletic,Southend United,2,1,0,0,3820475
el1,2017-18,6,2017-09-09,Fleetwood Town,Oldham Athletic,2,2,1,1,3820476
el1,2017-18,6,2017-09-09,Northampton Town,Doncaster Rovers,1,0,1,0,3820477
el1,2017-18,6,2017-09-09,Oxford United,FC Gillingham,3,0,0,0,3820478
el1,2017-18,6,2017-09-09,Peterborough United,Bradford City,1,3,0,3,3820479
el1,2017-18,6,2017-09-09,Plymouth Argyle,Milton Keynes Dons,0,1,0,1,3820480
el1,2017-18,6,2017-09-09,Rotherham United,FC Bury,3,2,1,1,3820482
el1,2017-18,6,2017-09-09,Scunthorpe United,FC Blackpool,0,0,0,0,3820483
el1,2017-18,6,2017-09-09,Shrewsbury Town,Wigan Athletic,1,0,1,0,3820484
el1,2017-18,7,2017-09-12,AFC Rochdale,Doncaster Rovers,2,1,0,0,3820493
el1,2017-18,7,2017-09-12,AFC Wimbledon,FC Gillingham,1,1,1,1,3820485
el1,2017-18,7,2017-09-12,Bristol Rovers,Oldham Athletic,2,3,0,0,3820486
el1,2017-18,7,2017-09-12,Charlton Athletic,Wigan Athletic,0,3,0,1,3820487
el1,2017-18,7,2017-09-12,Fleetwood Town,FC Bury,3,2,2,2,3820488
el1,2017-18,7,2017-09-12,Northampton Town,FC Portsmouth,3,1,2,0,3820489
el1,2017-18,7,2017-09-12,Oxford United,Bradford City,2,2,0,1,3820490
el1,2017-18,7,2017-09-12,Peterborough United,Milton Keynes Dons,2,0,0,0,3820491
el1,2017-18,7,2017-09-12,Plymouth Argyle,FC Blackpool,1,3,0,1,3820492
el1,2017-18,7,2017-09-12,Rotherham United,FC Walsall,5,1,4,0,3820494
el1,2017-18,7,2017-09-12,Scunthorpe United,Blackburn Rovers,0,1,0,0,3820495
el1,2017-18,7,2017-09-12,Shrewsbury Town,Southend United,1,0,1,0,3820496
el1,2017-18,8,2017-09-16,Blackburn Rovers,AFC Wimbledon,0,1,0,1,3820497
el1,2017-18,8,2017-09-16,Bradford City,Rotherham United,1,0,1,0,3820499
el1,2017-18,8,2017-09-16,FC Blackpool,Oxford United,3,1,2,0,3820498
el1,2017-18,8,2017-09-16,FC Bury,Plymouth Argyle,0,0,0,0,3820500
el1,2017-18,8,2017-09-16,FC Gillingham,Charlton Athletic,1,0,0,0,3820502
el1,2017-18,8,2017-09-16,FC Portsmouth,Fleetwood Town,4,1,1,0,3820505
el1,2017-18,8,2017-09-16,FC Walsall,Peterborough United,1,1,1,0,3820507
el1,2017-18,8,2017-09-16,Milton Keynes Dons,AFC Rochdale,3,2,2,2,3820503
el1,2017-18,8,2017-09-16,Oldham Athletic,Shrewsbury Town,1,2,1,1,3820504
el1,2017-18,8,2017-09-16,Southend United,Northampton Town,2,2,0,2,3820506
el1,2017-18,8,2017-09-16,Wigan Athletic,Bristol Rovers,3,0,1,0,3820508
el1,2017-18,8,2017-09-17,Doncaster Rovers,Scunthorpe United,0,1,0,1,3820501
el1,2017-18,9,2017-09-22,AFC Wimbledon,Milton Keynes Dons,0,2,0,2,3820509
el1,2017-18,9,2017-09-23,AFC Rochdale,FC Gillingham,3,0,2,0,3820517
el1,2017-18,9,2017-09-23,Bristol Rovers,FC Blackpool,3,1,1,1,3820510
el1,2017-18,9,2017-09-23,Charlton Athletic,FC Bury,1,1,1,1,3820511
el1,2017-18,9,2017-09-23,Fleetwood Town,Southend United,2,4,1,3,3820512
el1,2017-18,9,2017-09-23,Northampton Town,Bradford City,0,1,0,1,3820513
el1,2017-18,9,2017-09-23,Oxford United,FC Walsall,1,2,0,1,3820514
el1,2017-18,9,2017-09-23,Peterborough United,Wigan Athletic,3,2,0,1,3820515
el1,2017-18,9,2017-09-23,Plymouth Argyle,Doncaster Rovers,0,3,0,1,3820516
el1,2017-18,9,2017-09-23,Rotherham United,Oldham Athletic,5,1,1,1,3820518
el1,2017-18,9,2017-09-23,Scunthorpe United,FC Portsmouth,2,0,2,0,3820519
el1,2017-18,9,2017-09-23,Shrewsbury Town,Blackburn Rovers,1,1,0,0,3820520
el1,2017-18,10,2017-09-26,Blackburn Rovers,Rotherham United,2,0,1,0,3820521
el1,2017-18,10,2017-09-26,Bradford City,Fleetwood Town,0,3,0,0,3820523
el1,2017-18,10,2017-09-26,Doncaster Rovers,Shrewsbury Town,1,2,1,1,3820525
el1,2017-18,10,2017-09-26,FC Blackpool,AFC Rochdale,0,0,0,0,3820522
el1,2017-18,10,2017-09-26,FC Bury,Oxford United,3,0,0,0,3820524
el1,2017-18,10,2017-09-26,FC Gillingham,Scunthorpe United,0,0,0,0,3820526
el1,2017-18,10,2017-09-26,FC Portsmouth,Bristol Rovers,3,0,1,0,3820529
el1,2017-18,10,2017-09-26,FC Walsall,Charlton Athletic,2,2,1,1,3820531
el1,2017-18,10,2017-09-26,Milton Keynes Dons,Northampton Town,0,0,0,0,3820527
el1,2017-18,10,2017-09-26,Oldham Athletic,Peterborough United,3,2,0,0,3820528
el1,2017-18,10,2017-09-26,Southend United,AFC Wimbledon,1,0,0,0,3820530
el1,2017-18,10,2017-09-26,Wigan Athletic,Plymouth Argyle,1,0,0,0,3820532
el1,2017-18,11,2017-09-30,AFC Wimbledon,AFC Rochdale,0,0,0,0,3820533
el1,2017-18,11,2017-09-30,Blackburn Rovers,FC Gillingham,1,0,1,0,3820534
el1,2017-18,11,2017-09-30,Bradford City,Doncaster Rovers,2,0,2,0,3820535
el1,2017-18,11,2017-09-30,Bristol Rovers,Plymouth Argyle,2,1,1,0,3820536
el1,2017-18,11,2017-09-30,FC Bury,Milton Keynes Dons,0,2,0,1,3820537
el1,2017-18,11,2017-09-30,FC Portsmouth,Oldham Athletic,1,2,0,1,3820540
el1,2017-18,11,2017-09-30,Fleetwood Town,Charlton Athletic,1,3,1,2,3820538
el1,2017-18,11,2017-09-30,Peterborough United,Oxford United,1,4,1,0,3820539
el1,2017-18,11,2017-09-30,Rotherham United,Northampton Town,1,0,0,0,3820541
el1,2017-18,11,2017-09-30,Shrewsbury Town,Scunthorpe United,2,0,1,0,3820542
el1,2017-18,11,2017-09-30,Southend United,FC Blackpool,2,1,1,0,3820543
el1,2017-18,11,2017-09-30,Wigan Athletic,FC Walsall,2,0,1,0,3820544
el1,2017-18,12,2017-10-07,AFC Rochdale,Rotherham United,0,1,0,0,3820554
el1,2017-18,12,2017-10-07,Doncaster Rovers,Southend United,4,1,1,1,3820547
el1,2017-18,12,2017-10-07,FC Walsall,Shrewsbury Town,1,1,1,1,3820556
el1,2017-18,12,2017-10-07,Milton Keynes Dons,Bradford City,1,4,1,2,3820549
