MatchID,OldMatchday,NewMatchday,Date,Home,Away,SeasonID,BackupTimestamp
9020307,1,1,2011-08-12,Forest Green,Stockport,57,2026-05-27T22:08:04
9020308,1,1,2011-08-13,Barrow,Tamworth,57,2026-05-27T22:08:04
9020317,1,1,2011-08-13,Wrexham,Cambridge,57,2026-05-27T22:08:04
9020310,1,1,2011-08-13,Ebbsfleet,York,57,2026-05-27T22:08:04
9020309,1,1,2011-08-13,Darlington,Braintree Town,57,2026-05-27T22:08:04
9020316,1,1,2011-08-13,Southport,Lincoln,57,2026-05-27T22:08:04
9020311,1,1,2011-08-13,Grimsby,Fleetwood Town,57,2026-05-27T22:08:04
9020312,1,1,2011-08-13,Hayes & Yeading,Alfreton Town,57,2026-05-27T22:08:04
9020313,1,1,2011-08-13,Kettering Town,Newport County,57,2026-05-27T22:08:04
9020314,1,1,2011-08-13,Kidderminster,Gateshead,57,2026-05-27T22:08:04
9020315,1,1,2011-08-13,Mansfield,Bath City,57,2026-05-27T22:08:04
9020401,9,1,2011-09-13,Telford United,Luton,57,2026-05-27T22:08:04
9020318,2,2,2011-08-16,Alfreton Town,Southport,57,2026-05-27T22:08:04
9020319,2,2,2011-08-16,Bath City,Wrexham,57,2026-05-27T22:08:04
9020320,2,2,2011-08-16,Braintree Town,Grimsby,57,2026-05-27T22:08:04
9020321,2,2,2011-08-16,Cambridge,Telford United,57,2026-05-27T22:08:04
9020323,2,2,2011-08-16,Gateshead,Mansfield,57,2026-05-27T22:08:04
9020328,2,2,2011-08-16,Tamworth,Ebbsfleet,57,2026-05-27T22:08:04
9020322,2,2,2011-08-16,Fleetwood Town,Darlington,57,2026-05-27T22:08:04
9020324,2,2,2011-08-16,Lincoln,Kidderminster,57,2026-05-27T22:08:04
9020325,2,2,2011-08-16,Luton,Forest Green,57,2026-05-27T22:08:04
9020326,2,2,2011-08-16,Newport County,Hayes & Yeading,57,2026-05-27T22:08:04
9020327,2,2,2011-08-16,Stockport,Kettering Town,57,2026-05-27T22:08:04
9020329,2,2,2011-08-16,York,Barrow,57,2026-05-27T22:08:04
9020330,3,3,2011-08-19,Lincoln,Wrexham,57,2026-05-27T22:08:04
9020331,3,3,2011-08-20,Alfreton Town,Forest Green,57,2026-05-27T22:08:04
9020332,3,3,2011-08-20,Bath City,Barrow,57,2026-05-27T22:08:04
9020333,3,3,2011-08-20,Braintree Town,Mansfield,57,2026-05-27T22:08:04
9020334,3,3,2011-08-20,Cambridge,Kidderminster,57,2026-05-27T22:08:04
