league,season,matchday,date,home,away,fth,fta,hth,hta,match_id
el2,2018-19,1,2018-08-04,Cheltenham Town,Crawley Town,0,1,0,0,4226354
el2,2018-19,1,2018-08-04,Crewe Alexandra,FC Morecambe,6,0,2,0,4226355
el2,2018-19,1,2018-08-04,Exeter City,Carlisle United,3,1,2,1,4226356
el2,2018-19,1,2018-08-04,FC Bury,Yeovil Town,1,0,0,0,4226353
el2,2018-19,1,2018-08-04,FC Port Vale,Cambridge United,3,0,1,0,4226362
el2,2018-19,1,2018-08-04,FC Stevenage,Tranmere Rovers,2,2,2,1,4226363
el2,2018-19,1,2018-08-04,Grimsby Town,Forest Green Rovers,1,4,1,0,4226357
el2,2018-19,1,2018-08-04,Mansfield Town,Newport County,3,0,1,0,4226358
el2,2018-19,1,2018-08-04,Northampton Town,Lincoln City,0,1,0,0,4226359
el2,2018-19,1,2018-08-04,Notts County,Colchester United,0,0,0,0,4226360
el2,2018-19,1,2018-08-04,Oldham Athletic,Milton Keynes Dons,1,2,1,2,4226361
el2,2018-19,1,2018-08-04,Swindon Town,Macclesfield Town,3,2,0,0,4226364
el2,2018-19,2,2018-08-11,Cambridge United,Notts County,3,2,0,1,4226365
el2,2018-19,2,2018-08-11,Carlisle United,Northampton Town,2,2,1,1,4226366
el2,2018-19,2,2018-08-11,Colchester United,FC Port Vale,2,0,2,0,4226367
el2,2018-19,2,2018-08-11,Crawley Town,FC Stevenage,1,3,0,0,4226368
el2,2018-19,2,2018-08-11,FC Morecambe,Exeter City,0,2,0,1,4226373
el2,2018-19,2,2018-08-11,Forest Green Rovers,Oldham Athletic,1,1,1,0,4226369
el2,2018-19,2,2018-08-11,Lincoln City,Swindon Town,4,1,2,1,4226370
el2,2018-19,2,2018-08-11,Macclesfield Town,Grimsby Town,0,2,0,1,4226371
el2,2018-19,2,2018-08-11,Milton Keynes Dons,FC Bury,1,0,0,0,4226372
el2,2018-19,2,2018-08-11,Newport County,Crewe Alexandra,1,0,1,0,4226374
el2,2018-19,2,2018-08-11,Tranmere Rovers,Cheltenham Town,1,0,1,0,4226375
el2,2018-19,2,2018-08-11,Yeovil Town,Mansfield Town,2,2,2,2,4226376
el2,2018-19,3,2018-08-17,Notts County,Yeovil Town,0,4,0,2,4226384
el2,2018-19,3,2018-08-18,Cheltenham Town,Carlisle United,0,1,0,1,4226378
el2,2018-19,3,2018-08-18,Crewe Alexandra,Milton Keynes Dons,0,0,0,0,4226379
el2,2018-19,3,2018-08-18,Exeter City,Newport County,1,1,1,0,4226380
el2,2018-19,3,2018-08-18,FC Bury,Forest Green Rovers,1,1,0,1,4226377
el2,2018-19,3,2018-08-18,FC Port Vale,Crawley Town,1,0,1,0,4226386
el2,2018-19,3,2018-08-18,FC Stevenage,FC Morecambe,1,0,1,0,4226387
el2,2018-19,3,2018-08-18,Grimsby Town,Lincoln City,1,1,1,0,4226381
el2,2018-19,3,2018-08-18,Mansfield Town,Colchester United,1,1,0,0,4226382
el2,2018-19,3,2018-08-18,Northampton Town,Cambridge United,2,2,0,0,4226383
el2,2018-19,3,2018-08-18,Oldham Athletic,Macclesfield Town,3,1,1,0,4226385
el2,2018-19,3,2018-08-18,Swindon Town,Tranmere Rovers,3,2,1,2,4226388
el2,2018-19,4,2018-08-21,Cambridge United,Exeter City,0,2,0,2,4226389
el2,2018-19,4,2018-08-21,Carlisle United,FC Port Vale,2,1,1,0,4226390
el2,2018-19,4,2018-08-21,Colchester United,Crewe Alexandra,6,0,3,0,4226391
el2,2018-19,4,2018-08-21,Crawley Town,Swindon Town,2,2,0,2,4226392
el2,2018-19,4,2018-08-21,FC Morecambe,Northampton Town,1,0,1,0,4226397
el2,2018-19,4,2018-08-21,Forest Green Rovers,FC Stevenage,0,0,0,0,4226393
el2,2018-19,4,2018-08-21,Lincoln City,FC Bury,2,1,0,1,4226394
el2,2018-19,4,2018-08-21,Macclesfield Town,Cheltenham Town,1,1,1,0,4226395
el2,2018-19,4,2018-08-21,Milton Keynes Dons,Grimsby Town,1,1,0,1,4226396
el2,2018-19,4,2018-08-21,Newport County,Notts County,3,2,2,1,4226398
el2,2018-19,4,2018-08-21,Tranmere Rovers,Mansfield Town,0,0,0,0,4226399
el2,2018-19,4,2018-08-21,Yeovil Town,Oldham Athletic,0,0,0,0,4226400
el2,2018-19,5,2018-08-25,Cambridge United,Cheltenham Town,0,1,0,0,4226401
el2,2018-19,5,2018-08-25,Carlisle United,Crewe Alexandra,1,0,0,0,4226402
el2,2018-19,5,2018-08-25,Colchester United,Northampton Town,1,2,0,0,4226403
