city,model,n,bias,sigma,a,b
Milan,ecmwf_ifs025,700,-0.974,1.539,0.873,0.2098
Milan,ensemble_mean,599,-1.081,1.294,0.843,0.1442
Munich,gfs_seamless,700,-0.727,2.457,1.462,0.2660
Munich,icon_seamless,700,-0.698,1.630,1.040,0.1961
Munich,ukmo_seamless,599,-0.961,1.948,1.029,0.2859
Munich,jma_seamless,700,-1.182,2.367,1.423,0.2597
Munich,ecmwf_ifs025,700,-0.576,2.119,1.381,0.2098
Munich,ensemble_mean,599,-0.841,1.809,1.310,0.1442
Amsterdam,gfs_seamless,700,0.185,1.536,0.755,0.2660
Amsterdam,icon_seamless,700,-0.336,1.285,0.710,0.1961
Amsterdam,ukmo_seamless,599,-0.558,1.345,0.525,0.2859
Amsterdam,jma_seamless,700,-1.495,1.902,1.051,0.2597
Amsterdam,ecmwf_ifs025,700,-0.783,1.221,0.634,0.2098
Amsterdam,ensemble_mean,599,-0.626,1.120,0.689,0.1442
Warsaw,gfs_seamless,700,0.018,1.915,0.996,0.2660
Warsaw,icon_seamless,700,-0.538,1.481,0.846,0.1961
Warsaw,ukmo_seamless,599,-0.780,1.788,0.874,0.2859
Warsaw,jma_seamless,700,-1.157,1.912,1.078,0.2597
Warsaw,ecmwf_ifs025,700,-0.621,1.558,0.884,0.2098
Warsaw,ensemble_mean,599,-0.633,1.356,0.911,0.1442
Cape Town,gfs_seamless,677,0.592,1.719,0.813,0.2660
Cape Town,icon_seamless,677,-0.165,1.522,0.758,0.1961
Cape Town,ukmo_seamless,584,0.038,1.776,0.755,0.2859
Cape Town,jma_seamless,677,-1.984,1.701,0.831,0.2597
Cape Town,ecmwf_ifs025,677,-0.425,1.627,0.787,0.2098
Cape Town,ensemble_mean,584,-0.409,1.242,0.714,0.1442
Mexico City,gfs_seamless,700,0.340,1.418,0.575,0.2660
Mexico City,icon_seamless,700,-0.528,1.393,0.775,0.1961
Mexico City,ukmo_seamless,600,-0.246,1.437,0.509,0.2859
Mexico City,jma_seamless,700,-1.386,1.442,0.649,0.2597
Mexico City,ecmwf_ifs025,700,0.339,1.443,0.775,0.2098
Mexico City,ensemble_mean,600,-0.307,1.036,0.621,0.1442
Buenos Aires,gfs_seamless,700,0.263,2.474,1.477,0.2660
Buenos Aires,icon_seamless,700,-0.904,1.711,1.032,0.1961
Buenos Aires,ukmo_seamless,600,-0.668,2.115,1.015,0.2859
Buenos Aires,jma_seamless,700,-1.571,2.028,1.080,0.2597
Buenos Aires,ecmwf_ifs025,700,-0.938,1.722,0.945,0.2098
Buenos Aires,ensemble_mean,600,-0.773,1.594,1.061,0.1442
Sao Paulo,gfs_seamless,700,-0.080,2.029,0.936,0.2660
Sao Paulo,icon_seamless,700,-0.376,1.796,1.003,0.1961
Sao Paulo,ukmo_seamless,600,-1.507,2.088,0.887,0.2859
Sao Paulo,jma_seamless,700,-2.525,1.984,1.087,0.2597
Sao Paulo,ecmwf_ifs025,700,-0.717,1.872,1.038,0.2098
Sao Paulo,ensemble_mean,600,-1.022,1.522,0.983,0.1442
Taipei,gfs_seamless,700,-0.293,2.594,1.919,0.2660
Taipei,icon_seamless,700,-0.920,2.572,2.088,0.1961
Taipei,ukmo_seamless,600,-0.506,2.599,1.796,0.2859
Taipei,jma_seamless,700,-1.167,2.644,2.013,0.2597
Taipei,ecmwf_ifs025,700,-0.433,2.607,2.123,0.2098
Taipei,ensemble_mean,600,-0.599,2.447,2.037,0.1442
Tel Aviv,gfs_seamless,700,-0.427,1.301,0.740,0.2660
Tel Aviv,icon_seamless,700,-0.406,1.086,0.694,0.1961
Tel Aviv,ukmo_seamless,599,-0.576,1.557,0.777,0.2859
Tel Aviv,jma_seamless,700,-0.833,1.426,0.874,0.2597
Tel Aviv,ecmwf_ifs025,700,0.243,1.548,1.103,0.2098
Tel Aviv,ensemble_mean,599,-0.410,1.172,0.853,0.1442
Toronto,gfs_seamless,700,-0.249,2.091,0.980,0.2660
Toronto,icon_seamless,700,-0.776,1.739,1.023,0.1961
Toronto,ukmo_seamless,600,-0.566,1.988,0.906,0.2859
Toronto,jma_seamless,700,-2.659,2.702,1.474,0.2597
Toronto,ecmwf_ifs025,700,-0.622,1.877,1.071,0.2098
Toronto,ensemble_mean,600,-0.992,1.587,0.978,0.1442
Wuhan,gfs_seamless,700,-0.117,1.807,0.928,0.2660
Wuhan,icon_seamless,700,-0.625,1.693,1.048,0.1961
Wuhan,ukmo_seamless,600,-0.140,2.456,1.226,0.2859
Wuhan,jma_seamless,700,0.167,2.656,1.527,0.2597
Wuhan,ecmwf_ifs025,700,-0.152,2.065,1.359,0.2098
Wuhan,ensemble_mean,600,-0.109,1.716,1.193,0.1442
Panama City,gfs_seamless,695,-0.664,1.735,0.906,0.2660
Panama City,icon_seamless,695,-0.137,1.392,0.847,0.1961
