city,model,n,bias,sigma,a,b
Cape Town,ukmo_seamless,513,1.358,1.840,,
Cape Town,jma_seamless,677,2.127,1.632,,
Cape Town,ecmwf_ifs025,677,0.382,1.475,,
Cape Town,ensemble_mean,511,1.073,1.424,1.168,0.0825
Mexico City,gfs_seamless,700,3.842,2.811,,
Mexico City,icon_seamless,697,0.078,1.504,,
Mexico City,ukmo_seamless,529,2.067,1.888,,
Mexico City,jma_seamless,700,-2.233,1.915,,
Mexico City,ecmwf_ifs025,700,0.079,1.681,,
Mexico City,ensemble_mean,526,0.824,1.433,1.002,0.0825
Buenos Aires,gfs_seamless,700,1.030,2.327,,
Buenos Aires,icon_seamless,697,0.379,1.988,,
Buenos Aires,ukmo_seamless,529,3.124,2.486,,
Buenos Aires,jma_seamless,700,2.823,2.463,,
Buenos Aires,ecmwf_ifs025,700,1.490,1.977,,
Buenos Aires,ensemble_mean,526,1.795,2.038,1.754,0.0825
Sao Paulo,gfs_seamless,700,0.580,1.741,,
Sao Paulo,icon_seamless,697,0.199,1.336,,
Sao Paulo,ukmo_seamless,529,-0.618,1.378,,
Sao Paulo,jma_seamless,700,0.796,1.424,,
Sao Paulo,ecmwf_ifs025,700,-0.253,1.254,,
Sao Paulo,ensemble_mean,526,0.111,1.134,0.888,0.0825
Taipei,gfs_seamless,700,-0.061,1.318,,
Taipei,icon_seamless,698,0.326,1.181,,
Taipei,ukmo_seamless,529,0.029,1.319,,
Taipei,jma_seamless,700,-0.688,1.427,,
Taipei,ecmwf_ifs025,700,-0.929,1.438,,
Taipei,ensemble_mean,527,-0.286,1.079,0.880,0.0825
Tel Aviv,gfs_seamless,700,1.068,1.962,,
Tel Aviv,icon_seamless,700,-0.765,1.116,,
Tel Aviv,ukmo_seamless,528,0.559,1.450,,
Tel Aviv,jma_seamless,700,0.410,1.915,,
Tel Aviv,ecmwf_ifs025,700,-0.331,1.787,,
Tel Aviv,ensemble_mean,528,0.196,1.441,1.157,0.0825
Toronto,gfs_seamless,700,-1.443,1.747,,
Toronto,icon_seamless,697,-0.244,1.486,,
Toronto,ukmo_seamless,529,0.768,2.158,,
Toronto,jma_seamless,700,0.991,1.913,,
Toronto,ecmwf_ifs025,700,-0.893,1.593,,
Toronto,ensemble_mean,526,-0.171,1.276,0.878,0.0825
Wuhan,gfs_seamless,700,0.475,2.117,,
Wuhan,icon_seamless,698,0.167,1.284,,
Wuhan,ukmo_seamless,529,-0.201,1.571,,
Wuhan,jma_seamless,700,0.717,1.566,,
Wuhan,ecmwf_ifs025,700,-0.380,1.401,,
Wuhan,ensemble_mean,527,0.136,1.220,0.982,0.0825
Panama City,gfs_seamless,695,-1.690,0.788,,
Panama City,icon_seamless,692,-0.113,0.854,,
Panama City,ukmo_seamless,524,-0.044,0.740,,
Panama City,jma_seamless,695,0.499,0.758,,
Panama City,ecmwf_ifs025,695,-0.212,0.748,,
Panama City,ensemble_mean,521,-0.315,0.662,0.493,0.0825
