city,model,n,bias,sigma,a,b
Paris,ecmwf_ifs025,40,-1.282,1.011,0.414,0.1333
Paris,ensemble_mean,40,-0.779,1.010,0.572,0.0894
Madrid,gfs_seamless,40,-0.865,0.561,0.368,0.1550
Madrid,icon_seamless,40,-1.040,0.762,0.585,0.0852
Madrid,ukmo_seamless,40,-1.057,0.923,0.629,0.1236
Madrid,jma_seamless,40,-0.725,0.709,0.453,0.1478
Madrid,ecmwf_ifs025,40,-0.540,0.564,0.318,0.1333
Madrid,ensemble_mean,40,-0.846,0.551,0.374,0.0894
Milan,gfs_seamless,40,-0.425,1.713,0.917,0.1550
Milan,icon_seamless,40,0.675,0.825,0.474,0.0852
Milan,ukmo_seamless,40,1.158,1.086,0.560,0.1236
Milan,jma_seamless,40,-3.040,1.227,0.567,0.1478
Milan,ecmwf_ifs025,40,-1.127,1.239,0.654,0.1333
Milan,ensemble_mean,40,-0.552,0.864,0.446,0.0894
Munich,gfs_seamless,40,-2.663,1.364,0.854,0.1550
Munich,icon_seamless,40,-0.560,1.289,1.011,0.0852
Munich,ukmo_seamless,40,-0.963,1.220,0.709,0.1236
Munich,jma_seamless,40,-3.353,2.014,1.437,0.1478
Munich,ecmwf_ifs025,40,-1.928,1.201,0.778,0.1333
Munich,ensemble_mean,40,-1.893,1.049,0.741,0.0894
Amsterdam,gfs_seamless,40,0.920,1.833,1.126,0.1550
Amsterdam,icon_seamless,40,0.120,1.405,1.025,0.0852
Amsterdam,ukmo_seamless,40,0.345,1.325,0.832,0.1236
Amsterdam,jma_seamless,40,-2.772,1.662,1.091,0.1478
Amsterdam,ecmwf_ifs025,40,-0.832,1.439,0.774,0.1333
Amsterdam,ensemble_mean,40,-0.444,1.154,0.710,0.0894
Warsaw,gfs_seamless,40,0.222,1.147,0.683,0.1550
Warsaw,icon_seamless,40,-0.350,1.057,0.799,0.0852
Warsaw,ukmo_seamless,40,0.235,1.152,0.787,0.1236
Warsaw,jma_seamless,40,-2.080,1.864,1.472,0.1478
Warsaw,ecmwf_ifs025,40,-0.232,1.159,0.679,0.1333
Warsaw,ensemble_mean,40,-0.441,0.840,0.627,0.0894
