city,model,n,bias,sigma,a,b
Wellington,gfs_seamless,700,-1.200,1.094,0.553,0.2380
Wellington,icon_seamless,698,-0.670,1.175,0.719,0.1832
Wellington,ukmo_seamless,529,-0.533,1.244,0.530,0.2764
Wellington,jma_seamless,700,-1.621,1.285,0.778,0.2377
Wellington,ecmwf_ifs025,700,-1.246,1.079,0.665,0.1780
Wellington,ensemble_mean,527,-1.072,0.936,0.625,0.1403
Tokyo,gfs_seamless,700,-0.302,1.320,0.681,0.2380
Tokyo,icon_seamless,698,-0.167,1.304,0.828,0.1832
Tokyo,ukmo_seamless,528,0.096,1.561,0.775,0.2764
Tokyo,jma_seamless,700,-1.071,1.287,0.672,0.2377
Tokyo,ecmwf_ifs025,700,-0.370,1.541,1.032,0.1780
Tokyo,ensemble_mean,526,-0.351,1.065,0.701,0.1403
Seoul,gfs_seamless,700,-2.785,3.102,2.233,0.2380
Seoul,icon_seamless,698,-1.048,1.624,0.985,0.1832
Seoul,ukmo_seamless,528,-2.312,2.888,1.731,0.2764
Seoul,jma_seamless,700,-2.371,3.051,1.997,0.2377
Seoul,ecmwf_ifs025,700,-1.188,1.270,0.734,0.1780
Seoul,ensemble_mean,526,-1.888,2.131,1.557,0.1403
Shanghai,gfs_seamless,700,-0.955,1.397,0.693,0.2380
Shanghai,icon_seamless,698,-1.419,1.413,0.885,0.1832
Shanghai,ukmo_seamless,529,-0.985,1.541,0.642,0.2764
Shanghai,jma_seamless,700,-2.605,2.216,1.414,0.2377
Shanghai,ecmwf_ifs025,700,-1.222,1.351,0.840,0.1780
Shanghai,ensemble_mean,527,-1.449,1.274,0.869,0.1403
Beijing,gfs_seamless,700,-0.221,2.299,1.381,0.2380
Beijing,icon_seamless,698,-1.056,1.539,0.841,0.1832
Beijing,ukmo_seamless,529,-1.214,1.905,0.878,0.2764
Beijing,jma_seamless,700,-0.594,2.151,1.303,0.2377
Beijing,ecmwf_ifs025,700,-1.141,1.704,1.083,0.1780
Beijing,ensemble_mean,527,-0.873,1.451,1.020,0.1403
Kuala Lumpur,gfs_seamless,700,-1.672,1.749,0.827,0.2380
Kuala Lumpur,icon_seamless,698,-0.309,1.430,0.727,0.1832
Kuala Lumpur,ukmo_seamless,529,-0.651,1.599,0.553,0.2764
Kuala Lumpur,jma_seamless,700,-3.629,1.526,0.680,0.2377
Kuala Lumpur,ecmwf_ifs025,700,-1.035,1.647,0.909,0.1780
Kuala Lumpur,ensemble_mean,527,-1.405,1.262,0.751,0.1403
Shenzhen,gfs_seamless,700,1.367,1.467,0.771,0.2380
Shenzhen,icon_seamless,698,-0.949,1.361,0.781,0.1832
Shenzhen,ukmo_seamless,529,0.126,1.489,0.620,0.2764
Shenzhen,jma_seamless,700,-0.924,1.396,0.655,0.2377
Shenzhen,ecmwf_ifs025,700,-0.766,1.311,0.766,0.1780
Shenzhen,ensemble_mean,527,-0.254,1.084,0.661,0.1403
Chengdu,gfs_seamless,700,-1.006,2.097,1.201,0.2380
