city,model,n,bias,sigma
Buenos Aires,ukmo_seamless,529,-0.643,1.675
Buenos Aires,jma_seamless,700,-1.530,1.885
Buenos Aires,ecmwf_ifs025,700,-0.889,1.528
Buenos Aires,ensemble_mean,526,-0.864,1.324
Sao Paulo,gfs_seamless,700,-0.024,1.827
Sao Paulo,icon_seamless,697,-0.443,1.623
Sao Paulo,ukmo_seamless,529,-1.352,2.010
Sao Paulo,jma_seamless,700,-2.517,1.847
Sao Paulo,ecmwf_ifs025,700,-0.677,1.653
Sao Paulo,ensemble_mean,526,-1.003,1.471
Taipei,gfs_seamless,700,-0.290,2.417
Taipei,icon_seamless,698,-0.965,2.447
Taipei,ukmo_seamless,529,-0.505,2.471
Taipei,jma_seamless,700,-1.386,2.469
Taipei,ecmwf_ifs025,700,-0.499,2.493
Taipei,ensemble_mean,527,-0.546,2.379
Tel Aviv,gfs_seamless,700,-0.464,1.180
Tel Aviv,icon_seamless,700,-0.450,0.981
Tel Aviv,ukmo_seamless,528,-0.534,1.465
Tel Aviv,jma_seamless,700,-0.826,1.355
Tel Aviv,ecmwf_ifs025,700,0.264,1.498
Tel Aviv,ensemble_mean,528,-0.406,1.105
Toronto,gfs_seamless,700,-0.313,1.676
Toronto,icon_seamless,697,-0.745,1.468
Toronto,ukmo_seamless,529,-0.422,1.686
Toronto,jma_seamless,700,-2.626,2.599
Toronto,ecmwf_ifs025,700,-0.575,1.658
Toronto,ensemble_mean,526,-0.929,1.294
Wuhan,gfs_seamless,700,0.025,1.651
Wuhan,icon_seamless,698,-0.581,1.385
Wuhan,ukmo_seamless,529,-0.453,2.166
Wuhan,jma_seamless,700,0.087,2.465
Wuhan,ecmwf_ifs025,700,-0.228,1.831
Wuhan,ensemble_mean,527,-0.236,1.532
Panama City,gfs_seamless,695,-0.355,1.605
Panama City,icon_seamless,692,-0.103,1.266
Panama City,ukmo_seamless,524,-1.041,1.495
Panama City,jma_seamless,695,-2.162,1.220
Panama City,ecmwf_ifs025,695,-1.847,1.228
Panama City,ensemble_mean,521,-1.110,1.099
