city,model,n,bias,sigma,a,b
Cape Town,ukmo_seamless,40,1.252,1.412,,
Cape Town,jma_seamless,40,2.752,1.890,,
Cape Town,ecmwf_ifs025,40,0.733,1.609,,
Cape Town,ensemble_mean,40,1.383,1.225,0.991,0.0738
Mexico City,gfs_seamless,40,1.745,1.095,,
Mexico City,icon_seamless,40,0.590,1.187,,
Mexico City,ukmo_seamless,40,0.772,1.005,,
Mexico City,jma_seamless,40,-0.643,1.085,,
Mexico City,ecmwf_ifs025,40,-0.425,0.896,,
Mexico City,ensemble_mean,40,0.408,0.883,0.694,0.0738
Buenos Aires,gfs_seamless,40,2.093,2.467,,
Buenos Aires,icon_seamless,40,0.475,1.929,,
Buenos Aires,ukmo_seamless,40,2.548,2.468,,
Buenos Aires,jma_seamless,40,2.070,2.506,,
Buenos Aires,ecmwf_ifs025,40,1.315,2.097,,
Buenos Aires,ensemble_mean,40,1.700,2.178,1.971,0.0738
Sao Paulo,gfs_seamless,40,1.290,1.763,,
Sao Paulo,icon_seamless,40,0.355,1.221,,
Sao Paulo,ukmo_seamless,40,-0.522,1.017,,
Sao Paulo,jma_seamless,40,0.568,1.829,,
Sao Paulo,ecmwf_ifs025,40,0.180,1.104,,
Sao Paulo,ensemble_mean,40,0.374,1.144,0.870,0.0738
Taipei,gfs_seamless,40,0.090,0.844,,
Taipei,icon_seamless,40,0.663,0.913,,
Taipei,ukmo_seamless,40,0.465,0.831,,
Taipei,jma_seamless,40,-0.440,1.169,,
Taipei,ecmwf_ifs025,40,-0.700,1.095,,
Taipei,ensemble_mean,40,0.016,0.808,0.632,0.0738
Tel Aviv,gfs_seamless,40,-0.610,0.833,,
Tel Aviv,icon_seamless,40,-1.595,0.876,,
Tel Aviv,ukmo_seamless,40,-0.073,0.547,,
Tel Aviv,jma_seamless,40,-1.097,0.906,,
Tel Aviv,ecmwf_ifs025,40,-1.443,1.156,,
Tel Aviv,ensemble_mean,40,-0.963,0.600,0.377,0.0738
Toronto,gfs_seamless,40,-1.323,1.046,,
Toronto,icon_seamless,40,0.398,1.167,,
Toronto,ukmo_seamless,40,1.098,1.415,,
Toronto,jma_seamless,40,-0.002,1.639,,
Toronto,ecmwf_ifs025,40,-0.590,1.097,,
Toronto,ensemble_mean,40,-0.084,0.915,0.680,0.0738
Wuhan,gfs_seamless,40,-1.025,1.196,,
Wuhan,icon_seamless,40,-0.165,0.946,,
Wuhan,ukmo_seamless,40,-0.523,1.292,,
Wuhan,jma_seamless,40,0.600,1.094,,
Wuhan,ecmwf_ifs025,40,-0.528,1.194,,
Wuhan,ensemble_mean,40,-0.328,0.892,0.697,0.0738
Panama City,gfs_seamless,40,-1.468,0.791,,
Panama City,icon_seamless,40,0.463,0.801,,
Panama City,ukmo_seamless,40,0.087,0.738,,
Panama City,jma_seamless,40,0.455,0.800,,
Panama City,ecmwf_ifs025,40,-0.177,0.846,,
Panama City,ensemble_mean,40,-0.128,0.724,0.572,0.0738
