city,model,n,bias,sigma,a,b
Cape Town,gfs_seamless,677,0.581,1.630,,
Cape Town,icon_seamless,675,-0.128,1.404,,
Cape Town,ukmo_seamless,513,0.196,1.785,,
Cape Town,jma_seamless,677,-1.941,1.621,,
Cape Town,ecmwf_ifs025,677,-0.362,1.510,,
Cape Town,ensemble_mean,511,-0.333,1.179,0.670,0.1402
Mexico City,gfs_seamless,700,0.302,1.370,,
Mexico City,icon_seamless,697,-0.513,1.295,,
Mexico City,ukmo_seamless,529,-0.191,1.614,,
Mexico City,jma_seamless,700,-1.353,1.298,,
Mexico City,ecmwf_ifs025,700,0.296,1.379,,
Mexico City,ensemble_mean,526,-0.320,0.966,0.556,0.1402
Buenos Aires,gfs_seamless,700,0.049,2.215,,
Buenos Aires,icon_seamless,697,-0.944,1.462,,
Buenos Aires,ukmo_seamless,529,-0.640,1.676,,
Buenos Aires,jma_seamless,700,-1.529,1.886,,
Buenos Aires,ecmwf_ifs025,700,-0.882,1.532,,
Buenos Aires,ensemble_mean,526,-0.857,1.326,0.850,0.1402
Sao Paulo,gfs_seamless,700,-0.026,1.827,,
Sao Paulo,icon_seamless,697,-0.442,1.620,,
Sao Paulo,ukmo_seamless,529,-1.360,2.008,,
Sao Paulo,jma_seamless,700,-2.519,1.844,,
Sao Paulo,ecmwf_ifs025,700,-0.677,1.653,,
Sao Paulo,ensemble_mean,526,-1.006,1.469,0.931,0.1402
Taipei,gfs_seamless,700,-0.301,2.416,,
Taipei,icon_seamless,698,-0.960,2.452,,
Taipei,ukmo_seamless,529,-0.505,2.472,,
Taipei,jma_seamless,700,-1.386,2.472,,
Taipei,ecmwf_ifs025,700,-0.496,2.492,,
Taipei,ensemble_mean,527,-0.547,2.382,2.001,0.1402
Tel Aviv,gfs_seamless,700,-0.463,1.180,,
Tel Aviv,icon_seamless,700,-0.451,0.980,,
Tel Aviv,ukmo_seamless,528,-0.529,1.469,,
Tel Aviv,jma_seamless,700,-0.824,1.356,,
Tel Aviv,ecmwf_ifs025,700,0.266,1.499,,
Tel Aviv,ensemble_mean,528,-0.404,1.106,0.836,0.1402
Toronto,gfs_seamless,700,-0.307,1.679,,
Toronto,icon_seamless,697,-0.743,1.468,,
Toronto,ukmo_seamless,529,-0.413,1.691,,
Toronto,jma_seamless,700,-2.630,2.601,,
Toronto,ecmwf_ifs025,700,-0.568,1.660,,
Toronto,ensemble_mean,526,-0.924,1.296,0.767,0.1402
Wuhan,gfs_seamless,700,0.022,1.652,,
Wuhan,icon_seamless,698,-0.586,1.387,,
Wuhan,ukmo_seamless,529,-0.450,2.166,,
Wuhan,jma_seamless,700,0.093,2.460,,
Wuhan,ecmwf_ifs025,700,-0.227,1.830,,
Wuhan,ensemble_mean,527,-0.236,1.532,1.083,0.1402
Panama City,gfs_seamless,695,-0.355,1.605,,
Panama City,icon_seamless,692,-0.104,1.266,,
Panama City,ukmo_seamless,524,-1.041,1.498,,
Panama City,jma_seamless,695,-2.163,1.220,,
Panama City,ecmwf_ifs025,695,-1.849,1.229,,
Panama City,ensemble_mean,521,-1.112,1.100,0.754,0.1402
