city,model,n,bias,sigma,a,b
Paris,ecmwf_ifs025,40,-1.035,1.262,0.530,0.1443
Paris,ensemble_mean,40,-0.902,1.268,0.745,0.1039
Madrid,gfs_seamless,40,-0.335,0.710,0.511,0.1434
Madrid,icon_seamless,40,-1.005,0.952,0.718,0.1362
Madrid,ukmo_seamless,40,-0.692,0.877,0.591,0.1584
Madrid,jma_seamless,40,-0.605,0.795,0.564,0.1457
Madrid,ecmwf_ifs025,40,-0.340,0.603,0.369,0.1443
Madrid,ensemble_mean,40,-0.596,0.587,0.439,0.1039
Milan,gfs_seamless,40,-0.062,1.950,1.201,0.1434
Milan,icon_seamless,40,0.013,1.557,0.767,0.1362
Milan,ukmo_seamless,40,0.883,1.067,0.211,0.1584
Milan,jma_seamless,40,-3.522,1.502,0.698,0.1457
Milan,ecmwf_ifs025,40,-0.883,1.258,0.617,0.1443
Milan,ensemble_mean,40,-0.714,1.071,0.499,0.1039
Munich,gfs_seamless,40,-2.567,1.523,1.184,0.1434
Munich,icon_seamless,40,-1.243,1.606,1.134,0.1362
Munich,ukmo_seamless,40,-0.872,1.186,0.740,0.1584
Munich,jma_seamless,40,-3.485,2.161,1.774,0.1457
Munich,ecmwf_ifs025,40,-2.228,1.357,1.075,0.1443
Munich,ensemble_mean,40,-2.079,1.242,1.015,0.1039
Amsterdam,gfs_seamless,40,1.345,2.056,1.441,0.1434
Amsterdam,icon_seamless,40,0.167,1.731,1.096,0.1362
Amsterdam,ukmo_seamless,40,0.573,1.840,1.076,0.1584
Amsterdam,jma_seamless,40,-2.847,1.789,1.229,0.1457
Amsterdam,ecmwf_ifs025,40,-0.450,1.738,0.888,0.1443
Amsterdam,ensemble_mean,40,-0.243,1.442,0.903,0.1039
Warsaw,gfs_seamless,40,0.113,1.466,0.937,0.1434
Warsaw,icon_seamless,40,-0.247,1.859,1.319,0.1362
Warsaw,ukmo_seamless,40,0.342,1.338,0.750,0.1584
Warsaw,jma_seamless,40,-2.210,2.083,1.547,0.1457
Warsaw,ecmwf_ifs025,40,-0.300,1.218,0.668,0.1443
Warsaw,ensemble_mean,40,-0.461,1.130,0.803,0.1039
Cape Town,gfs_seamless,40,0.843,2.226,1.502,0.1434
Cape Town,icon_seamless,40,-0.015,1.697,1.029,0.1362
Cape Town,ukmo_seamless,40,-0.905,1.569,0.825,0.1584
Cape Town,jma_seamless,40,-1.855,1.558,0.949,0.1457
Cape Town,ecmwf_ifs025,40,-0.960,1.555,0.884,0.1443
Cape Town,ensemble_mean,40,-0.579,1.499,0.948,0.1039
